flight_id,split,retained_in_distribution,rows
KRDU:AAL1566_23R_ac4a44_20260505T034156Z,train,True,309
KRDU:AAL1566_23R_ac67fc_20260527T010745Z,train,True,141
KRDU:AAL1566_23R_ac7e15_20260513T034840Z,train,True,146
KRDU:AAL1566_23R_acca88_20260511T034415Z,train,True,131
KRDU:AAL1566_23R_acd0ca_20260709T005744Z,train,True,292
KRDU:AAL1566_23R_acea99_20260627T012634Z,train,True,137
KRDU:AAL1566_23R_acea99_20260712T010315Z,val,True,180
KRDU:AAL1566_23R_ad1c11_20260502T040550Z,train,True,195
KRDU:AAL1566_23R_ad1c11_20260510T033255Z,val,True,312
KRDU:AAL1566_23R_ad4105_20260530T020827Z,train,True,138
KRDU:AAL1566_23R_ad526c_20260704T010456Z,val,True,123
KRDU:AAL1566_23R_ad5623_20260721T044532Z,train,True,152
KRDU:AAL1566_23R_ad6ff2_20260717T010755Z,train,True,165
KRDU:AAL1566_23R_adb3cb_20260705T005532Z,train,True,248
KRDU:AAL1566_23R_adda1e_20260710T005113Z,train,True,207
KRDU:AAL1605_05L_a6fb32_20260512T045202Z,train,True,299
KRDU:AAL1605_23R_a03fff_20260507T020332Z,train,True,157
KRDU:AAL1605_23R_a08021_20260504T031756Z,train,True,147
KRDU:AAL1605_23R_a08efd_20260516T021811Z,val,True,151
KRDU:AAL1605_23R_a0cb68_20260519T031048Z,train,True,148
KRDU:AAL1605_23R_a10931_20260514T022726Z,train,True,316
KRDU:AAL1605_23R_a14da8_20260520T051440Z,train,True,149
KRDU:AAL1605_23R_a16a02_20260510T020624Z,val,True,154
KRDU:AAL1605_23R_a71b43_20260509T021857Z,val,True,145
KRDU:AAL1605_23R_a7302f_20260502T021356Z,train,True,153
KRDU:AAL1605_23R_a75b65_20260518T022010Z,val,True,141
KRDU:AAL1605_23R_a7869b_20260517T021605Z,train,True,336
KRDU:AAL1605_23R_acdbee_20260505T025344Z,train,True,368
KRDU:AAL1605_23R_ace96c_20260521T022101Z,train,True,152
KRDU:AAL1605_23R_add2b6_20260513T021951Z,train,True,299
KRDU:AAL1605_23R_adeca5_20260511T044323Z,train,True,332
KRDU:AAL167R_23R_ab674b_20260704T165029Z,train,True,144
KRDU:AAL173_05L_aa305f_20260511T203128Z,train,True,303
KRDU:AAL173_05L_aa3b85_20260720T212426Z,train,True,179
KRDU:AAL173_05L_aa4195_20260523T201820Z,train,True,364
KRDU:AAL173_05L_aa5b92_20260713T203626Z,train,True,291
KRDU:AAL173_05L_aa5b92_20260714T195943Z,train,False,311
KRDU:AAL173_05L_aa5f41_20260507T204806Z,train,True,149
KRDU:AAL173_05L_aa77f0_20260630T200647Z,val,True,309
KRDU:AAL173_05L_aa9801_20260528T201554Z,train,True,336
KRDU:AAL173_05L_aaa326_20260717T221608Z,train,True,351
KRDU:AAL173_05L_aabf80_20260530T212923Z,train,True,296
KRDU:AAL173_05L_aac6ee_20260629T200654Z,train,True,137
KRDU:AAL173_05L_aad981_20260712T195530Z,train,True,314
KRDU:AAL173_23R_aa1a16_20260517T200218Z,train,True,130
KRDU:AAL173_23R_aa1dcd_20260514T210253Z,train,True,126
KRDU:AAL173_23R_aa28f2_20260518T204445Z,train,True,130
KRDU:AAL173_23R_aa3417_20260508T201313Z,train,True,131
KRDU:AAL173_23R_aa4195_20260521T202015Z,train,True,124
KRDU:AAL173_23R_aa4195_20260527T202031Z,train,True,152
KRDU:AAL173_23R_aa57df_20260512T202058Z,train,True,138
KRDU:AAL173_23R_aa5b92_20260525T201525Z,train,True,145
KRDU:AAL173_23R_aa5b92_20260701T202644Z,train,True,135
KRDU:AAL173_23R_aa5b92_20260703T200258Z,train,True,124
KRDU:AAL173_23R_aa5b92_20260710T201354Z,val,True,140
KRDU:AAL173_23R_aa5f41_20260503T200009Z,train,True,133
KRDU:AAL173_23R_aa5f41_20260716T200541Z,train,True,124
KRDU:AAL173_23R_aa6914_20260719T201754Z,train,True,132
KRDU:AAL173_23R_aa7082_20260504T201654Z,val,True,144
KRDU:AAL173_23R_aa7082_20260707T200251Z,val,True,133
KRDU:AAL173_23R_aa7082_20260718T202829Z,val,True,147
KRDU:AAL173_23R_aa7439_20260506T201530Z,val,True,146
KRDU:AAL173_23R_aa7439_20260509T195742Z,train,True,137
KRDU:AAL173_23R_aa7439_20260519T195001Z,train,True,142
KRDU:AAL173_23R_aa7ba7_20260721T201828Z,train,True,126
KRDU:AAL173_23R_aa86cc_20260711T200535Z,train,True,120
KRDU:AAL173_23R_aa944a_20260520T202542Z,train,True,132
KRDU:AAL173_23R_aa9801_20260526T201057Z,train,True,144
KRDU:AAL173_23R_aa9f6f_20260628T194933Z,train,True,129
KRDU:AAL173_23R_aaa326_20260531T201656Z,train,True,129
KRDU:AAL173_23R_aaa326_20260702T202354Z,val,True,126
KRDU:AAL173_23R_aaa6dd_20260516T200528Z,train,True,142
KRDU:AAL173_23R_aab812_20260513T215732Z,train,True,139
KRDU:AAL173_23R_aabbc9_20260704T211323Z,val,True,129
KRDU:AAL173_23R_aabbc9_20260715T201600Z,val,True,132
KRDU:AAL173_23R_aac6ee_20260708T195108Z,train,True,122
KRDU:AAL173_23R_aacaa5_20260501T202135Z,val,True,141
KRDU:AAL173_23R_aacaa5_20260709T204919Z,train,True,128
KRDU:AAL173_23R_aad213_20260706T005050Z,val,True,131
KRDU:AAL173_23R_aad981_20260510T203420Z,val,True,128
KRDU:AAL1846_05L_aaf0ce_20260717T132624Z,train,True,288
KRDU:AAL1846_05L_aaffaa_20260714T134033Z,train,True,310
KRDU:AAL1846_05L_ab525f_20260712T134619Z,train,True,338
KRDU:AAL1846_23R_a13541_20260707T132021Z,train,True,140
KRDU:AAL1846_23R_a99077_20260702T133141Z,train,True,138
KRDU:AAL1846_23R_aa55ee_20260704T132905Z,train,True,140
KRDU:AAL1846_23R_aa59a5_20260708T144031Z,train,True,132
KRDU:AAL1846_23R_aaf485_20260718T170323Z,train,True,142
KRDU:AAL1846_23R_ab184d_20260709T133426Z,train,True,134
KRDU:AAL1846_23R_ab2729_20260715T135953Z,train,True,141
KRDU:AAL1846_23R_ab3fcc_20260716T132552Z,train,True,138
KRDU:AAL1846_23R_ab473a_20260705T132138Z,train,True,145
KRDU:AAL1846_23R_ab674b_20260719T133447Z,train,True,143
KRDU:AAL1846_23R_ab79de_20260711T134048Z,train,True,139
KRDU:AAL1852_05L_a3f500_20260531T100244Z,train,True,151
KRDU:AAL1852_05L_abd77e_20260707T104309Z,train,True,295
KRDU:AAL1852_05L_ace0d2_20260713T103620Z,train,True,245
KRDU:AAL1852_05L_ad5623_20260629T105111Z,train,True,311
KRDU:AAL1852_23R_a11b00_20260526T093051Z,train,True,143
KRDU:AAL1852_23R_a3244f_20260703T102217Z,train,True,139
KRDU:AAL1852_23R_a35b39_20260719T112129Z,val,True,134
KRDU:AAL1852_23R_a3b11e_20260530T100152Z,train,True,227
KRDU:AAL1852_23R_ab7b02_20260628T114618Z,train,True,337
KRDU:AAL1852_23R_ab8112_20260718T101427Z,train,True,135
KRDU:AAL1852_23R_ac31a1_20260711T101516Z,train,True,274
KRDU:AAL1852_23R_ac407d_20260710T104913Z,val,True,329
KRDU:AAL1852_23R_ac96b8_20260721T105454Z,train,True,157
KRDU:AAL1852_23R_ad237f_20260527T114945Z,train,True,152
KRDU:AAL1852_23R_ad5398_20260627T104019Z,train,True,131
KRDU:AAL1852_23R_ad8895_20260717T103606Z,train,True,122
KRDU:AAL1852_23R_ad8ed7_20260712T103120Z,val,True,134
KRDU:AAL1852_23R_adac5d_20260706T110538Z,train,True,156
KRDU:AAL1891_05L_ab15ba_20260511T220443Z,val,True,139
KRDU:AAL1891_05L_ab64b8_20260515T210518Z,val,True,123
KRDU:AAL1891_05R_ad0851_20260507T212414Z,val,True,140
KRDU:AAL1891_23R_a35388_20260506T212422Z,train,True,275
KRDU:AAL1891_23R_a362b2_20260520T213920Z,train,True,142
KRDU:AAL1891_23R_ab5383_20260518T214413Z,train,True,328
KRDU:AAL1891_23R_abd3c7_20260506T022301Z,train,True,304
KRDU:AAL1891_23R_ac0dd9_20260501T212054Z,train,True,138
KRDU:AAL1891_23R_aca309_20260513T211342Z,train,True,170
KRDU:AAL1891_23R_ace0d2_20260504T212225Z,train,True,318
KRDU:AAL1891_23R_ad0d35_20260508T225217Z,val,True,218
KRDU:AAL1891_23R_ad10ec_20260514T212238Z,train,True,319
KRDU:AAL1891_23R_ad185a_20260512T212850Z,train,True,180
KRDU:AAL1891_23R_adb29f_20260517T235503Z,train,True,171
KRDU:AAL1891_23R_adf194_20260519T213700Z,train,True,144
KRDU:AAL1952_23R_a14da8_20260710T195643Z,train,True,145
KRDU:AAL2069_23R_a0e431_20260706T023715Z,train,True,137
KRDU:AAL2083_05L_a9618a_20260715T020537Z,train,True,263
KRDU:AAL2083_05L_a9942e_20260629T044246Z,train,True,330
KRDU:AAL2083_05L_a9a91a_20260630T004322Z,train,True,284
KRDU:AAL2083_05L_a9b7f6_20260701T010017Z,train,True,304
KRDU:AAL2083_05L_a9e6df_20260713T005213Z,train,True,218
KRDU:AAL2083_05L_a9f461_20260525T021604Z,train,True,290
KRDU:AAL2083_05L_aa3226_20260523T005956Z,train,True,147
KRDU:AAL2083_05L_ab0361_20260529T005050Z,train,True,254
KRDU:AAL2083_05L_ab1496_20260709T012637Z,train,True,134
KRDU:AAL2083_05L_ab30f0_20260718T020610Z,train,True,139
KRDU:AAL2083_05R_ab473a_20260522T014935Z,train,True,158
KRDU:AAL2083_23L_ab184d_20260717T061434Z,train,True,169
KRDU:AAL2083_23L_ab5fdd_20260706T025826Z,train,True,146
KRDU:AAL2083_23R_a9618a_20260716T012704Z,val,True,135
KRDU:AAL2083_23R_a9653d_20260526T011126Z,train,True,159
KRDU:AAL2083_23R_a9741d_20260708T024654Z,train,True,141
KRDU:AAL2083_23R_a9b43f_20260721T054841Z,val,True,150
KRDU:AAL2083_23R_aa2701_20260711T042211Z,train,True,143
KRDU:AAL2083_23R_aa4e80_20260528T022356Z,train,True,154
KRDU:AAL2083_23R_aa763f_20260702T004503Z,val,True,133
KRDU:AAL2083_23R_aa79f6_20260530T012811Z,train,True,144
KRDU:AAL2083_23R_aaed17_20260627T013509Z,train,True,147
KRDU:AAL2083_23R_ab1496_20260710T043250Z,train,True,142
KRDU:AAL2083_23R_ab7fee_20260704T005643Z,train,True,141
KRDU:AAL2105_05L_aaf1f2_20260511T232322Z,train,True,157
KRDU:AAL2105_05L_ad237f_20260502T223449Z,val,True,140
KRDU:AAL2105_23L_ac066b_20260512T231840Z,train,True,142
KRDU:AAL2105_23R_a356f6_20260508T224720Z,train,True,155
KRDU:AAL2105_23R_a35e9c_20260518T224512Z,val,True,134
KRDU:AAL2105_23R_a3b529_20260519T223619Z,train,True,331
KRDU:AAL2105_23R_a3b529_20260520T224044Z,val,True,207
KRDU:AAL2105_23R_abbedb_20260501T231138Z,train,True,335
KRDU:AAL2105_23R_abfefd_20260509T235314Z,train,True,171
KRDU:AAL2105_23R_ac390f_20260517T230434Z,train,True,227
KRDU:AAL2105_23R_acb827_20260504T225547Z,train,True,194
KRDU:AAL2105_23R_ace0d2_20260504T004131Z,train,True,138
KRDU:AAL2105_23R_ace6e2_20260515T224629Z,val,True,292
KRDU:AAL2105_23R_ace96d_20260510T222653Z,train,True,184
KRDU:AAL2105_23R_ad5d5f_20260506T223158Z,train,True,289
KRDU:AAL2105_23R_ad63a1_20260514T223951Z,train,True,277
KRDU:AAL2105_23R_ad7b17_20260516T223811Z,train,True,175
KRDU:AAL2105_23R_add2b0_20260513T230222Z,train,True,140
KRDU:AAL2167_05L_a9942e_20260630T032652Z,train,True,300
KRDU:AAL2167_05L_a9e6df_20260524T053651Z,train,True,348
KRDU:AAL2167_05L_a9f461_20260529T043630Z,val,True,280
KRDU:AAL2167_05L_aa3994_20260531T034949Z,val,True,302
KRDU:AAL2167_05L_aa3994_20260709T051537Z,val,True,174
KRDU:AAL2167_05L_aa763f_20260701T033408Z,train,True,309
KRDU:AAL2167_05L_aaf0ce_20260714T084106Z,train,True,274
KRDU:AAL2167_05L_ab1c04_20260629T033416Z,train,True,347
KRDU:AAL2167_05L_ab6394_20260523T040749Z,val,True,346
KRDU:AAL2167_05L_ab6b02_20260713T041930Z,train,True,294
KRDU:AAL2167_23L_a9653d_20260716T034707Z,val,True,153
KRDU:AAL2167_23R_a9653d_20260708T035428Z,train,True,138
KRDU:AAL2167_23R_a9a91a_20260703T035607Z,train,True,157
KRDU:AAL2167_23R_a9d44c_20260527T034723Z,train,True,147
KRDU:AAL2167_23R_a9d44c_20260528T053115Z,val,True,182
KRDU:AAL2167_23R_a9d807_20260530T034652Z,train,True,163
KRDU:AAL2167_23R_a9d807_20260718T053758Z,train,True,169
KRDU:AAL2167_23R_aa0e62_20260721T055650Z,train,True,151
KRDU:AAL2167_23R_aa2e6f_20260628T042604Z,train,True,163
KRDU:AAL2167_23R_aa35e1_20260710T054522Z,train,True,150
KRDU:AAL2167_23R_aa55ee_20260525T034057Z,train,True,165
KRDU:AAL2167_23R_aa59a5_20260706T045348Z,train,True,139
KRDU:AAL2167_23R_aa6ade_20260717T090833Z,train,True,157
KRDU:AAL2167_23R_aa88d2_20260702T035403Z,train,True,163
KRDU:AAL2167_23R_ab2372_20260720T062505Z,train,True,157
KRDU:AAL2167_23R_ab3fcc_20260627T032757Z,train,True,164
KRDU:AAL2167_23R_ab4383_20260719T035521Z,val,True,147
KRDU:AAL2307_05L_a06db4_20260503T054424Z,val,True,133
KRDU:AAL2307_05L_a0c075_20260515T033039Z,train,True,298
KRDU:AAL2307_05L_ac72e4_20260501T025646Z,train,True,285
KRDU:AAL2307_05L_ac892e_20260512T040300Z,train,True,156
KRDU:AAL2307_23R_a07522_20260514T033116Z,train,True,142
KRDU:AAL2307_23R_a0d90c_20260511T035209Z,train,True,143
KRDU:AAL2307_23R_a187ba_20260518T032844Z,train,True,135
KRDU:AAL2307_23R_a68e7c_20260505T025611Z,train,True,162
KRDU:AAL2307_23R_a6cffc_20260519T033000Z,train,True,146
KRDU:AAL2307_23R_a6e89f_20260504T031042Z,train,True,142
KRDU:AAL2307_23R_ac96be_20260516T033419Z,train,True,144
KRDU:AAL2307_23R_acda02_20260510T031545Z,val,True,152
KRDU:AAL2307_23R_acdbee_20260509T031706Z,train,True,148
KRDU:AAL2307_23R_ace5bc_20260521T032254Z,train,True,123
KRDU:AAL2307_23R_ad9811_20260502T030116Z,train,True,149
KRDU:AAL2332_05L_a6fb32_20260630T233655Z,train,True,257
KRDU:AAL2332_05L_ab5d4a_20260522T024156Z,train,True,258
KRDU:AAL2332_05L_ab7b02_20260523T030328Z,train,True,331
KRDU:AAL2332_05L_abc292_20260529T024000Z,train,True,292
KRDU:AAL2332_05L_abf17f_20260718T031216Z,train,True,123
KRDU:AAL2332_05L_acca88_20260713T030512Z,train,True,276
KRDU:AAL2332_05L_acdd1b_20260714T025750Z,train,True,139
KRDU:AAL2332_05L_ad00e3_20260531T024533Z,train,True,280
KRDU:AAL2332_05L_ad1d3d_20260629T024243Z,train,True,274
KRDU:AAL2332_05L_addb4a_20260630T024102Z,train,True,262
KRDU:AAL2332_23R_a09188_20260526T203158Z,train,True,138
KRDU:AAL2332_23R_a32893_20260705T020749Z,train,True,287
KRDU:AAL2332_23R_aaf5a9_20260704T060406Z,train,True,327
KRDU:AAL2332_23R_ab2c04_20260720T024843Z,val,True,131
KRDU:AAL2332_23R_ab3d39_20260526T073522Z,train,True,144
KRDU:AAL2332_23R_ab975c_20260712T030042Z,train,True,280
KRDU:AAL2332_23R_acd1f6_20260717T024735Z,train,True,135
KRDU:AAL2332_23R_ace96d_20260721T024552Z,val,True,147
KRDU:AAL2332_23R_acea99_20260530T024015Z,train,True,145
KRDU:AAL2332_23R_ad1986_20260525T025901Z,train,True,147
KRDU:AAL2332_23R_ad1c11_20260703T024402Z,train,True,120
KRDU:AAL2332_23R_ad35e0_20260710T031738Z,train,True,271
KRDU:AAL2332_23R_ad6116_20260706T024231Z,train,True,128
KRDU:AAL234_23R_a01fee_20260721T195216Z,val,True,294
KRDU:AAL2360_05L_a9b088_20260528T204433Z,train,True,297
KRDU:AAL2360_05L_aa02ab_20260714T202643Z,train,True,319
KRDU:AAL2360_05L_aa02ab_20260717T205354Z,val,True,357
KRDU:AAL2360_05L_aa4ac9_20260712T202558Z,train,True,306
KRDU:AAL2360_05L_ab1fbb_20260522T204805Z,val,True,355
KRDU:AAL2360_05L_ab525f_20260720T204207Z,train,True,300
KRDU:AAL2360_05L_ab5fdd_20260524T202154Z,train,True,351
KRDU:AAL2360_05L_ac79c7_20260713T213849Z,train,True,309
KRDU:AAL2360_23L_a9e6df_20260628T210906Z,train,True,136
KRDU:AAL2360_23R_a07341_20260527T212412Z,train,True,156
KRDU:AAL2360_23R_a95a1c_20260702T204109Z,train,True,118
KRDU:AAL2360_23R_a9854e_20260626T202012Z,train,True,142
KRDU:AAL2360_23R_a997e5_20260710T200856Z,train,True,131
KRDU:AAL2360_23R_a9b7f6_20260525T204924Z,val,True,149
KRDU:AAL2360_23R_aa1be0_20260531T221857Z,train,True,139
KRDU:AAL2360_23R_aa4e80_20260701T203436Z,train,True,124
KRDU:AAL2360_23R_aa6113_20260703T200734Z,train,True,138
KRDU:AAL2360_23R_aa7288_20260715T204426Z,train,True,133
KRDU:AAL2360_23R_ab385e_20260719T203646Z,train,True,148
KRDU:AAL2360_23R_ab586f_20260708T215536Z,train,True,127
KRDU:AAL2360_23R_ab7270_20260707T211634Z,val,True,134
KRDU:AAL2361_05L_a336e3_20260630T010110Z,train,True,257
KRDU:AAL2361_05L_ab35cb_20260530T220649Z,train,True,261
KRDU:AAL2361_05L_ab774b_20260628T225721Z,train,True,130
KRDU:AAL2361_05L_abd010_20260713T224450Z,train,True,266
KRDU:AAL2361_05L_ac91d4_20260717T223627Z,train,True,287
KRDU:AAL2361_05L_acbe37_20260712T225139Z,train,True,305
KRDU:AAL2361_05L_acc6d1_20260630T232353Z,train,True,126
KRDU:AAL2361_05L_ace96d_20260706T221818Z,train,True,112
KRDU:AAL2361_05L_ad2862_20260702T221729Z,train,True,124
KRDU:AAL2361_05L_ad6758_20260714T223659Z,train,True,256
KRDU:AAL2361_05L_adb014_20260705T233609Z,train,True,309
KRDU:AAL2361_23R_a3b11e_20260702T010353Z,train,True,134
KRDU:AAL2361_23R_a3b4d6_20260708T222303Z,train,True,300
KRDU:AAL2361_23R_a3b4d6_20260716T003517Z,train,True,320
KRDU:AAL2361_23R_ac8a66_20260526T005648Z,train,True,146
KRDU:AAL2361_23R_ac8cf1_20260720T231006Z,train,True,128
KRDU:AAL2361_23R_aca309_20260626T224513Z,val,True,147
KRDU:AAL2361_23R_acbe37_20260531T221049Z,train,True,140
KRDU:AAL2361_23R_acd1f6_20260709T223501Z,train,True,141
KRDU:AAL2361_23R_aced23_20260627T224002Z,train,True,304
KRDU:AAL2361_23R_acf5be_20260529T221104Z,train,True,144
KRDU:AAL2361_23R_ad0851_20260717T003509Z,train,True,284
KRDU:AAL2361_23R_ad237f_20260521T221131Z,train,True,129
KRDU:AAL2361_23R_ad2862_20260526T233717Z,val,True,273
KRDU:AAL2361_23R_adb014_20260718T221821Z,train,True,279
KRDU:AAL2361_23R_adcdcc_20260710T222248Z,train,True,131
KRDU:AAL2362_05L_a114f4_20260523T113854Z,train,True,130
KRDU:AAL2362_05L_a12625_20260630T114359Z,train,True,143
KRDU:AAL2362_05L_a68e7c_20260531T115607Z,train,True,140
KRDU:AAL2362_05L_a762d3_20260529T114826Z,train,True,167
KRDU:AAL2362_05L_ac90a7_20260707T114841Z,train,True,118
KRDU:AAL2362_05L_acced9_20260714T114803Z,train,True,143
KRDU:AAL2362_05L_acf486_20260713T114757Z,train,True,143
KRDU:AAL2362_23R_a0628f_20260527T114708Z,val,True,157
KRDU:AAL2362_23R_a06a09_20260717T122731Z,train,True,280
KRDU:AAL2362_23R_a09cad_20260721T124606Z,train,True,284
KRDU:AAL2362_23R_a0ade2_20260706T115023Z,train,True,319
KRDU:AAL2362_23R_a17527_20260718T114732Z,train,True,314
KRDU:AAL2362_23R_a684b5_20260701T115721Z,train,True,317
KRDU:AAL2362_23R_a6c120_20260525T114659Z,train,True,352
KRDU:AAL2362_23R_a6e4e8_20260528T114655Z,train,True,279
KRDU:AAL2362_23R_a6ec56_20260627T114415Z,train,True,349
KRDU:AAL2362_23R_a6f00d_20260712T114320Z,val,True,320
KRDU:AAL2362_23R_a704f9_20260521T114939Z,train,True,299
KRDU:AAL2362_23R_a708b0_20260716T115141Z,val,True,265
KRDU:AAL2362_23R_a71efa_20260710T115721Z,train,True,293
KRDU:AAL2362_23R_a722b1_20260705T114020Z,val,True,322
KRDU:AAL2362_23R_a75b65_20260628T114903Z,train,True,329
KRDU:AAL2362_23R_a7668a_20260719T115132Z,val,True,322
KRDU:AAL2362_23R_a782e4_20260704T114636Z,val,True,325
KRDU:AAL2362_23R_acb285_20260709T115509Z,train,True,323
KRDU:AAL2362_23R_acdbee_20260720T114617Z,train,True,292
KRDU:AAL2362_23R_ad41ed_20260702T114354Z,train,True,344
KRDU:AAL2362_23R_ad9811_20260703T121041Z,train,True,307
KRDU:AAL2362_23R_ad9f7f_20260708T114652Z,train,True,329
KRDU:AAL2362_23R_ada6ed_20260711T114644Z,train,True,342
KRDU:AAL2363_05L_ab485e_20260531T154450Z,train,True,127
KRDU:AAL2363_05L_ac5920_20260528T154521Z,train,True,137
KRDU:AAL2363_05L_aca309_20260714T155500Z,train,True,133
KRDU:AAL2363_05L_acb953_20260717T160543Z,val,True,129
KRDU:AAL2363_05L_acc31a_20260712T155339Z,train,True,128
