typecode,wing_area_m2,wing_area_source,wing_area_locator,engine_model,n_engines,rated_takeoff_thrust_kN_each,thrust_source,thrust_locator,rated_takeoff_power_kW_each,power_source,power_locator,notes
CL30,48.5,easa_tcds_im_a_080_i11,"PDF p9, sec 16 Dimensions (column ""S/N 20002 - 20500"")",Honeywell AS907-1-1A (HTF7000),2,30.73,easa_tcds_im_e_058_i10,"PDF p7, sec 6 Ratings (Take off, ISA sea level)",,,,"S printed ""48.5 m2 (522.0 ft2)"". Engine per easa_tcds_im_a_080_i11 PDF p6 (S/N 20002 up to 20500: AS907-1-1A). 30.89 kN at ISA+20C."
E545,44.85,easa_tcds_im_a_526_i12,"PDF p16, Section 2 EMB-545, sec 4 Dimensions",Honeywell AS-907-3-1E (HTF7500E),2,29.53,easa_tcds_im_a_526_i12,"PDF p16, Section 2 EMB-545, sec 5 Engines (Take Off 5 minutes)",,,,"S printed ""44.85 m2"" (also with the 21.50 m span DCA = Praetor 500). THREE VALUES: aircraft TCDS installed take-off 29.53 kN (value used, the airplane limit); engine TCDS easa_tcds_im_e_058_i10 PDF p7 AS907-3-1E take-off 33.91 kN (33.98 kN at ISA+18C); embraer_praetor500_brochure ""ENGINE THRUST / FLAT RATING 6,540 lbf / ISA + 18C"" (= 29.09 kN)."
C25B,27.32,easa_tcds_im_a_078_i19,"PDF p33, Section C Model 525B, sec 4 Dimensions",Williams FJ44-3A,2,12.54,easa_tcds_im_e_016_i13,"PDF p9, sec 6 Ratings",,,,"S printed ""27.32 sq.m (294 sq.ft)"". Engine TCDS ""1254 (2820)"" daN (lbf). Aircraft TCDS PDF p34: 1,279 kg (2,820 lbs); textron_cj3gen3_card ""2,820 lb ea 12.54 kN ea"". Consistent."
C208,25.96,easa_tcds_im_a_226_i15,"PDF p15, Section 2.1 Model 208B, sec 4 (same on p5 for Model 208)",P&WC PT6A-114A,1,,,,503,easa_tcds_im_e_094_i3,"PDF p7, sec 5 Ratings (Take-off)","S printed ""25.96 m2 (279.4 ft2)"". FAA ACD row is the 208B. Aircraft TCDS PDF p16: PT6A-114A (675 hp) take-off 675 SHP (= 503.3 kW); textron_caravan_card ""675 shp 503 kW"". Other C208 powerplants in the same TCDS: PT6A-114 600 SHP (early S/N); 208B S/N 208B2197 & 208B5000 on (Grand Caravan EX): PT6A-140 867 SHP (PDF p21) = engine TCDS 647 kW."
B712,92.97,easa_tcds_im_a_211_i3,"PDF p16, Section 3 717-200, III Dimensions",Rolls-Royce BR700-715C1-30,2,95.33,easa_tcds_e_023_i1,"PDF p4, sec 6 Ratings",,,,"S printed ""92.97 m2 (1,000.7 sq ft)"". Engines per aircraft TCDS PDF p16: BR700-715A1-30 or BR700-715C1-30; the TCDS does not tie them to weight variants. Value = highest-rated option (C1-30 95.33 kN); A1-30 = 83.23 kN. Tier-4 ps_params_20250328: Sref 92.75 m2, span 28.4 m (TCDS span 28.45 m) - 0.2% below the TCDS area."
E75S,72.72,easa_tcds_im_a_001_i13,"PDF p16, Section 2 ERJ 170-200, sec 5 Dimensions",GE CF34-8E5A1,2,62.5,easa_tcds_im_e_053_i4,"PDF p7, sec 6 Ratings (Normal Takeoff)",,,,"S printed ""72.72 m2 (783 ft2)"", span 26.0 m. Engines per aircraft TCDS: CF-34-8E5 or -8E5A1; value = higher-rated option, Normal Takeoff 62.50 kN (14050 lb); -8E5 Normal 59.70 kN (13420 lb); Maximum Takeoff 64.54 kN (14510 lb) for both. CONTRADICTION (tier 4): ps_params_20250328 gives E75S Sref 83 m2, span 25 m."
GLF4,,,,Rolls-Royce Tay 611-8,2,61.61,easa_tcds_e_063_i6,"PDF p9, sec 6 Ratings (merged cell Tay 611-8 / 620-15)",,,,"Engine TCDS prints ""61,61 kN"" in one cell spanning the Tay 611-8 and Tay 620-15 columns (checked on the rendered page). Aircraft TCDS easa_tcds_im_a_070_i13 PDF p34 (printed page 34/70): take-off (5 minutes) 61,608 N (13,850 lbs). Wing area: none of the documents opened prints it."
B350,27.87,easa_tcds_im_a_277_i22,"PDF p27, Model B300/B300C, sec 4 Dimensions",P&WC PT6A-60A,2,,,,783,easa_tcds_im_e_078_i2,"PDF p6, sec 6 Ratings (Take-off Power)","S printed ""27.87 sq. meters (300.0 sq. ft.)"". Aircraft TCDS: take-off 1050 SHP (= 783.0 kW); textron_kingair360_card ""1,050 shp ea 783 kW ea"". The engine TCDS column header reads ""(mm)"" for the take-off power column - a typo for kW (the max-continuous column is headed kW)."
GLEX,,,,Rolls-Royce BR700-710A2-20,2,65.6,easa_tcds_e_018_i16,"PDF p9, sec 6 Ratings",,,,"FAA ACD row = Global 6000 (BD-700-1A10). Aircraft TCDS easa_tcds_im_a_009_i14 PDF p14: BR700-710A2-20 Max. Take-off 14,750 lbf / 65.6 kN (all designations except Global 6500/5500). Global 6500: BR700-710D5-21 (Pearl 15) 15,250 lbf / 67.8 kN (aircraft TCDS PDF p15; engine TCDS 67.8 kN). CONTRADICTION: bombardier_global6500_page prints ""Rolls-Royce Pearl engine Thrust: 15,125 lbf (67.3 kN)"". Wing area: not printed in any document opened."
C750,48.96,easa_tcds_im_a_097_i3,"PDF p6, sec 4 Dimensions",Rolls-Royce AE3007C1,2,30.08,easa_tcds_im_e_044_i5,"PDF p8, sec 6 Ratings",,,,"S printed ""48.96 m2 (527ft2)"". FAA ACD MTOW 36,100 lb = the S/N 750-0173 on column (AE3007C1). Aircraft TCDS: 30.09 kN (6764 lbs); engine TCDS 30.08 kN (6764 lbf). AE3007C (S/N 0001-0172) 28.65 kN (6442 lbf). The Citation X+ (AE3007C2, 31.32 kN) is not in this EASA TCDS issue."
S22T,13.46,easa_tcds_im_a_007_i19,"PDF p19, Section C SR22T, sec 4 Dimensions",Continental TSIO-550-K,1,,,,235,easa_tcds_im_e_105_i3,"PDF p6, sec 6 Ratings","S printed ""13.46 m2 (144.90 ft2)"". Engine TCDS prints one rating, ""235 kW (315 HP) at 2500 RPM ... Max. Continuous""; aircraft TCDS PDF p19 ""Maximum Take-off 2500 RPM (315 hp)"" (= 234.9 kW)."
G280,,,,Honeywell AS907-2-1G (HTF7250G),2,33.03,easa_tcds_im_a_348_i6,"PDF p8, sec 5 Engines (Normal Takeoff)",,,,"FOUR VALUES: aircraft TCDS ""Static thrust at sea level (Standard Day)"": Normal Takeoff 33.03 kN (7,425 lbs) (value used, all-engine rating), Maximum Takeoff 34.54 kN (7,765 lbs); engine TCDS easa_tcds_im_e_058_i10 take-off 34.37 kN ISA / 34.54 kN at ISA+17C; gulfstream_g300_page / gulfstream_g300_specs ""Rated Takeoff Thrust (each) 7,624 lb | 33.90 kN"" (G300 = the current name of the G280 line; the G280 URL redirects to it). Wing area: not printed in any document opened."
SR22,13.46,easa_tcds_im_a_007_i19,"PDF p12, Section B SR22, sec 4 Dimensions",Continental IO-550-N,1,,,,231,easa_tcds_im_e_100_i4,"PDF p7, sec 6 Ratings (Take-off, 5 min)","S printed ""13.46 m2 (144.90 ft2)"". Engine TCDS ""231 (310)"" kW (HP); aircraft TCDS ""Maximum Take-off 2700 RPM (310 hp)"" (= 231.2 kW)."
H25B,,,,Honeywell TFE731-5BR (Hawker 800XP),2,21.129,faa_tcds_e6we_r18,"PDF p2, Static Thrust Ratings (Takeoff at Sea Level, 5 min)",,,,"FAA ACD row = Hawker 800XP. Engine TCDS: -5BR take-off 4750 lb, max continuous 4634 lb. Aircraft TCDS easa_tcds_im_a_085_i5 PDF p47: TFE 731-5BR take-off static thrust 4,750 lbs (APR operating or not). Original unit lbf. Wing area: not printed in any document opened."
C680,47.93,easa_tcds_im_a_033_i9,"PDF p9, Section 1 Model 680, sec 4.1 Dimensions for Citation Sovereign",P&WC PW306C,2,25.67,easa_tcds_im_e_051_i4,"PDF p7, sec 6 Ratings",,,,"S printed ""47.93 m2 (515.9 ft2)"". FAA ACD row = Sovereign (MTOW 30,300 lb). Aircraft TCDS: 25.66 kN (5770 lbs). Citation Sovereign+ (S/N 680-0501 on, also C680): 50.40 m2 (542.52 ft2), PW306D 26.27 kN (5907 lbs) - same TCDS PDF p9."
C560,31.83,easa_tcds_im_a_207_i10,"PDF p36, Section 4 Model 560, sec 4.1-4.2 (Citation V; Ultra ""same as"")",P&WC JT15D-5D (Citation Ultra),2,13.545,faa_tcds_e45ne_orig,"PDF p1, THRUST RATING, POUNDS (Takeoff 5 min at sea level)",,,,"S printed ""342.6 sq ft (31.83 sq m)"". FAA ACD MTOW 16,300 lb = the Citation Ultra column (aircraft TCDS PDF p40). Ultra JT15D-5D 3045 lb (aircraft TCDS PDF p37 and FAA E45NE). Citation V: JT15D-5A 2900 lbs (EASA JT15D TCDS 1290 daN) = 12.90 kN, same wing. Citation Encore/Encore+: 29.94 m2 (322.3 ft2), PW535A/B 3,400 lbs = 15.124 kN. Original unit lbf."
BE20,28.1496,easa_tcds_im_a_277_i22,"PDF p16, Model B200/B200C, sec 4 Dimensions",P&WC PT6A-42,2,,,,634,easa_tcds_im_e_078_i2,"PDF p6, sec 6 Ratings (Take-off Power; column header misprinted ""mm"")","S printed ""28.1496 sq. meters (303.0 sq. ft.)"". Aircraft TCDS: take-off 850 SHP (= 633.8 kW). B200GT/B200CGT (King Air 250/260): PT6A-52, 850 SHP, 28.15 m2 (PDF p23); textron_kingair260_card ""(2) PT6A-52 Output 850 shp ea 634 kW ea""."
GA6C,,,,P&WC PW815GA,2,71.22,easa_tcds_im_e_096_i7,"PDF p8, sec 6 Ratings",,,,"Engine per easa_tcds_im_a_595_i15 PDF p20 (GVII-G600; the aircraft TCDS prints no thrust and no wing area). Engine TCDS take-off 7122 daN (16,011 lbf). CONTRADICTION: gulfstream_g600_page and gulfstream_g600_specs ""Rated Takeoff Thrust (each) 15,680 lb | 69.74 kN""."
GL7T,,,,GE Passport 20-19BB1A,2,84.16,easa_tcds_im_e_113_i6,"PDF p7, sec 6 Ratings",,,,"Engines per easa_tcds_im_a_009_i14 PDF p30: Global 7500 = Passport 20-19BB1A, Global 8000 = -19BB1B (aircraft TCDS: ""Engine Limits: See applicable AFM""). The EASA engine TCDS leaves the -19BB1B rating cell blank; bombardier_global8000_page prints ""Thrust: 18,920 lbf (84.16kN)"" (= 8416 daN). Wing area: not printed in any document opened."
F2TH,49.0,easa_tcds_a_008_i13,"PDF p23, Section 3 Falcon 2000EX (same on p12 for Falcon 2000)",P&WC PW308C,2,31.15,easa_tcds_im_e_057_i6,"PDF p6, sec 6 Ratings",,,,"S printed ""49.00 m2"". FAA ACD row = Falcon 2000EX. Aircraft TCDS PDF p24: ""Take-off 6,998 lb (3,114 daN)""; dassault_f2000lxs_backgrounder ""7,000 lbs (31.14 kN) max thrust each at ISA+15C"". Falcon 2000 (original): CFE738-1-1B, maximum take-off 5,937 lbs (2,641 daN) = 26.41 kN (aircraft TCDS PDF p12)."
BE36,16.82,easa_tcds_im_a_279_i3,"PDF p4, Model G36, sec 4 Dimensions",Continental IO-550-B,1,,,,224,easa_tcds_im_e_100_i4,"PDF p7, sec 6 Ratings (Take-off, 5 min)","S printed ""16.82 sq. m (181 sq. ft.)"". The EASA TCDS covers the G36 only (FAA ACD row = Bonanza G36). Aircraft TCDS ""2700 rpm (300hp)"" (= 223.7 kW); textron_bonanza_card ""300 hp 224 kW""."
C25M,22.3,easa_tcds_im_a_078_i19,"PDF p9, Section A Model 525, sec 4 Dimensions","Williams FJ44-1AP (P/N 72100-201, the ""-21"")",2,8.741,easa_tcds_im_a_078_i19,"PDF p9, sec 5.1.3 (525-0685 and 525-0800 and On)",,,,"S printed ""22.30 sq.m (240 sq.ft)"" for Model 525; TCDS note 8 (PDF p18): S/N 0685 and 0800 on ""is known as the M2"". Aircraft TCDS: 891 kg (1,965 lbs); textron_m2gen3_card ""1,965 lb ea 8.74 kN ea"". Source defect in the engine TCDS easa_tcds_im_e_016_i13 PDF p9: FJ44-1AP ""847 (1965)"" daN (lbf) - 1965 lbf is 874 daN, so the daN figure is a transposition; the lbf figure (confirmed by the aircraft TCDS and the product card) is the one converted. Original unit lbf."
SF50,18.18,easa_tcds_im_a_615_i6,"PDF p7, sec 3 Dimensions",Williams FJ33-5A,1,8.21,easa_tcds_im_e_016_i13,"PDF p9, sec 6 Ratings",,,,"S printed ""18.18 m2 (195.7 ft2)"". Engine TCDS ""821 (1846)"" daN (lbf); aircraft TCDS PDF p8 take-off 1846 lb. Consistent."
DA40,13.244,easa_tcds_im_a_022_i24,"PDF p27, Section D DA 40 NG, sec 4 Dimensions",Austro Engine E4 (AE300),1,,,,123.5,easa_tcds_e_200_i12,"PDF p5, sec 6 Ratings (E4 Take-off)","S printed ""13.244 m2 (142,6 sqft)"". FAA ACD row = DA40 NG. DA 40 (original, IO-360-M1A): 13.54 m2 (146 sqft) (PDF p4), power 134 kW (180 HP) per easa_tcds_im_e_032_i3 PDF p12. CONTRADICTION (small): diamond_da40ng_folder_2025 ""turbocharged 168 HP Austro AE300"" (= 125.3 kW) vs engine TCDS 123.5 kW (= 165.6 hp)."
BE58,18.5,easa_tcds_im_a_280_i4,"PDF p4, Model G58, sec 4 Dimensions",Continental IO-550-C,2,,,,224,easa_tcds_im_e_100_i4,"PDF p7, sec 6 Ratings (Take-off, 5 min)","S printed ""18.5 sq. meters (199.2 sq. ft.)"". The EASA TCDS covers the G58 only. Aircraft TCDS ""2700 rpm (300 hp.)""; textron_baron_card ""300 hp ea 224 kW ea""."
BE40,,,,P&WC JT15D-5 (RK-1 to 507) / JT15D-5R (RK-508 on),2,13.19,easa_tcds_im_e_077_i1,"page 6, sec 6 Ratings (scanned; read from the rendered page)",,,,"FAA ACD row = Hawker 400XP (MTOW 16,100 lb = Model 400A). faa_tcds_a16sw_r29 PDF p6: take-off 2,900 lb (RK-1 thru RK-92), 2,965 lb (RK-93 and after) (= 13.189 kN); EASA JT15D TCDS: JT15D-5 and -5R take-off 1319 daN. Wing area: not printed in any document opened."
C408,,,,P&WC PT6A-65SC,2,,,,828,easa_tcds_im_e_078_i2,"PDF p6, sec 6 Ratings (Take-off Power)",Engines per faa_tcds_a00016wi_r6 PDF p1 (Model 408): take-off 1110 shp (= 827.7 kW). Wing area: not printed in any document opened.
LJ60,,,,P&WC PW305A,2,20.462,easa_tcds_im_a_212_i4,"PDF p8, sec 2.1 Engine Limits (Thrust ratings (lb.) Takeoff (standard day), static)",,,,Airplane limit 4600 lb (value used) vs engine TCDS easa_tcds_im_e_051_i4 PW305A take-off 2081 daN (= 20.81 kN). Original unit lbf. Wing area: not printed in any document opened.
E550,44.85,easa_tcds_im_a_526_i12,"PDF p9, Section 1 EMB-550, sec 4 Dimensions",Honeywell AS-907-3-1E (HTF7500E),2,31.75,easa_tcds_im_a_526_i12,"PDF p9, Section 1 EMB-550, sec 5 Engines (Take Off 5 minutes)",,,,Airplane limit 31.75 kN (value used) vs engine TCDS AS907-3-1E 33.91 kN. The EMB-550 and EMB-545 print different installed limits for the same engine model (31.75 vs 29.53 kN).
F900,,,,Honeywell TFE731-60 (Falcon 900EX),3,22.24,easa_tcds_im_e_011_i8,"PDF p7, sec 6 Ratings",,,,"Engine TCDS ""22.24 kN (5000 lb)""; aircraft TCDS easa_tcds_a_062_i10 PDF p43: ""Maximum takeoff static thrust: 2 225 daN (5 000 lbs)"". FAA ACD row = Falcon 900EX. Wing area: not printed in any document opened."
C25C,30.67,easa_tcds_im_a_078_i19,"PDF p43, Section D Model 525C, sec 4 Dimensions",Williams FJ44-4A,2,16.1,easa_tcds_im_e_016_i13,"PDF p9, sec 6 Ratings",,,,"S printed ""30.67 sq.m (330.3 sq.ft.)"". Engine TCDS ""1610 (3,621)"" daN (lbf); aircraft TCDS 1,642 kg (3,621 lbs); textron_cj4gen3_card ""3,621 lb ea 16.11 kN ea""."
TBM9,18.0,easa_tcds_a_010_i22,"PDF p13, sec 4 Dimensions",P&WC PT6A-66D (TBM 900/910/930/940),1,,,,634,easa_tcds_im_e_008_i6,"PDF p8, sec 5 Ratings (Take-off Power)","S printed ""18,00 m2 (193,7 ft2)"" for all TBM700 variants. Aircraft TCDS PDF p14: PT6A-66D maximum take-off 700 shp without MOD70-0357-71, 850 shp with it; TBM900/910/930/940 all include MOD70-0357-71 (PDF p6) -> 850 shp (= 633.8 kW) = engine TCDS 634 kW. TBM960/980: PT6E-66XT 895 shp (engine TCDS 667 kW)."
GALX,,,,P&WC PW306A,2,26.87,easa_tcds_im_e_051_i4,"PDF p7, sec 6 Ratings",,,,Aircraft TCDS easa_tcds_im_a_013_i5 PDF p10: take-off (5 minutes) (with and without APR) 6040 lbs (= 26.87 kN). Wing area: not printed in any document opened.
P28R,,,,Lycoming IO-360-C1C6 (PA-28R-201),1,,,,149.1,faa_tcds_2a13_r66,"PDF p27, XVII Model PA-28R-201 Engine Limits","""For all operations, 2700 r.p.m. (200 hp)"". Original unit hp. Wing area: not printed in any document opened (the EASA PA-28 TCDS covers the PA-28-181 only)."
BE9L,27.308,easa_tcds_im_a_503_i9,"PDF p8, C90A sec 4 Dimensions (same on p12, p15 for C90GT, C90GTi)","P&WC PT6A-21 (C90A) / PT6A-135A (C90GT, C90GTi)",2,,,,410.1,easa_tcds_im_a_503_i9,"PDF p8 and p12, sec 5 Engine Limits (Takeoff 5 minutes 550 S.H.P.)","S printed ""27.308 sq. meters (293.94 sq. ft.)"". Airplane take-off limit 550 shp for all three models (value used); the PT6A-135A itself is rated 559 kW (750 shp) in easa_tcds_im_e_094_i3. The FAA ACD row names the King Air E90, which this EASA TCDS does not cover. Original unit shp."
PRM1,22.9,easa_tcds_im_a_073_i2,"PDF p5, sec 4 Dimensions",Williams FJ44-2A,2,10.23,easa_tcds_im_e_016_i13,"PDF p9, sec 6 Ratings",,,,"S printed ""22.9 sq.m (247 sq. ft.)"". Engine TCDS ""1023 (2300)"" daN (lbf); aircraft TCDS ""Takeoff (5 minutes)* 1,043.26 kg (2,300 lbs)"". Out of train_flights order (34 flights): the TCDS had already been downloaded."
C56X,34.4,easa_tcds_im_a_207_i10,"PDF p50, Section 5 Model 560XL, III.4 Dimensions (one entry for Excel, XLS, XLS+)","P&WC PW545B (XLS) or PW545C (XLS+, XLS Gen2)",2,18.32,easa_tcds_im_e_013_i3,"PDF p6, sec III.5 Ratings (Take-off, 5 minutes)",,,,"S printed ""369.7 sq ft (34.4 sq m)"" (369.7 ft2 x 0.09290304 = 34.35 m2, the figure the project code uses; the printed 34.4 is it rounded); FAA TCDS A22CE prints no wing area. Variant: the FAA ACD row ""Cessna Excel/XLS"" prints MTOW 20,200 lb and MALW 18,700 lb, which are the XLS (S/N 560-5501 to -6000) and XLS+ (S/N 560-6001 to -6317, -6319 to -6321) weights in easa_tcds_im_a_207_i10 PDF p53 and faa_tcds_a22ce_r74 PDF p22 (the Excel, S/N 560-5001 to -5500, is 20,000 lb, or 20,200 lb after SB560XL-32-28: IM.A.207 Note 3 PDF p55, A22CE Note 32 PDF p39); so value = PW545B take-off (5 minutes) 1832 daN (4119 lbf), the same for the PW545C. Aircraft TCDSs (IM.A.207 PDF p51, A22CE PDF p20) print ""Takeoff (5 min.) 4119 lb."" for both; FAA engine TCDS faa_tcds_e00059en_r6 PDF p1: 4,119 (PW545C ""--"" = same as preceding). Excel PW545A: 1758 daN = 17.58 kN (3952 lb in IM.A.207, A22CE and E00059EN; the EASA engine TCDS prints the lbf as ""(3592)"", see Contradictions). XLS Gen2 (S/N 560-6318, 560-6322 to -6500, MTOW 20,330 lb) keeps the PW545C (A22CE PDF p19-20); the Ascend (S/N 560-6501 on, also Model 560XL in A22CE) has the PW545D, 1876 daN = 18.76 kN (4218 lbf). No APR rating is printed for any PW545; take-off may be used up to 10 min for OEI (engine TCDS note 4). Cross-check: the project code MTOW 20,000 lb = 9,072 kg is the unmodified Excel figure, not the ACD 20,200 lb; MLW 18,700 lb = 8,482 kg holds for every variant. Original unit daN."
