# source: EUROCONTROL Aircraft Performance Database, https://contentzone.eurocontrol.int/aircraftperformance/details.aspx?ICAO=<TYPE>, retrieved 2026-09-23
# local: data/aircraft_performance/eurocontrol_apd/<TYPE>.html; sha256 per file below
# 'No' = the site returns its empty 'No' page (type not in the database); performance_similarity copied verbatim ('|' = field separator on the page)
# page footer: 'All data presented is only indicative and should not be used operationally.' / 'Copyright permission must be sought from EUROCONTROL.'
requested,file,sha256,icao,name,manufacturer,type,mtow_kg,approach_ias_kt,approach_mcs_kt,vat_ias_kt,landing_distance_m,apc,wing_span,power_plant,performance_similarity_raw
C25M,C25M.html,3073a64759aa82647ebe75e791314a8d31db69ad11142e38c26885bd2a5a62a7,C25M,525 Citation M2,CESSNA,L2J,4853,200,135,105,789,B,14.39 m,2x 8.74kN Williams FJ44-1AP-21,No data
C525,C525.html,130ef1da5e8c731f9fff2f111511c215581c64a663ec4b37da3c738746b70e4a,C525,"525 CitationJet, Citation CJ1",CESSNA,L2J,4717,220,130,110,838,B,14.3 m,2 x 8.45 kN Williams R-R FJ44-1A turbofans.,No data
C560,C560.html,849c4fa01a847ae219ad002dfdbc7c3a057937bb2ba0b04f2d8c367051d8270e,C560,560 Citation 5 Ultra Encore,CESSNA,L2J,7210,230,180,110,890,B,13.8 m,"Citation 5: 2 x 12.89 kN P&W JT15D-5A turbofans. Ultra: 2 x 13.6 kN P&W JT15D-5D turbofans. Encore: 2 x 14,9 kN P&W PW 535A turbofans.",No data
C56X,C56X.html,76020dd757116b658465f6df8806bd472c1ddf1df005fe5e9413c53ccf59e875,C56X,560XL Citation Excel,CESSNA,L2J,8709,210,180,117,890,B,17 m,"2 x 16,2 kN P&W PW545A turbofans.",No data
C650,C650.html,6bf3041371be5084bafaa6de55af9dc4ef4632c5e0043dbaf5bf726f8187ec87,C650,650 Citation 3/6/7,CESSNA,L2J,14060,250,180,130,900,C,16.31 m,"Citatin 3/6: 2 x 16.24 kN Allied Signal TFE 731-3B-100S turbofans. Citation 7: 2 x 18,5 kN Allied Signal TFE 731-4R-2S turbofans.",No data
C680,C680.html,d85bca0b5c5619cc0955219351a266e10c437a377aad4b8bbbbed289014b3aae,C680,Citation Sovereign,CESSNA,L2J,13743,230,170,125,1200,C,19.24 m,2x 25.3kN Pratt & Whitney PW306C,No data
C68A,C68A.html,9e13461cc3cd2ac076ac402bc1685ed5819a2a4b17a3942319bb29054aa8e954,No,No,No,No,,,,,,,No data,No data,No data
C700,C700.html,3c6beed987e719bac834788dd7c2255b60f50055c52b35a541259c8e31fb8faa,No,No,No,No,,,,,,,No data,No data,No data
C750,C750.html,4c4d2f807b3ee9e04a698408ca80dbe14a3cbdd01eba0965ca3c808f017548fc,C750,750 Citation 10,CESSNA,L2J,16193,250,no data,130,1164,C,19.5 m,"2 x 28,47 kN Allison AE300 7C turbofans",No data
CL30,CL30.html,03574ff3af9db71ff7097859a37881f76d27d221671276360c8ad61f4f7d6973,CL30,BD-100 Challenger 300,Bombardier Aerospace (Canada),L2J,17622,200,180,125,792,C,18.4 m,"2x Honeywell HTF7000 turbofans , Thrust: 6,826 lb (30.4 kN)",ICAO Code: | CL35 | Notes: | CL30 has a bit less range
CL35,CL35.html,6fe5e56b544644beafcbe63719a180d0375b4d97a8650d8a6a39259382e26d7a,CL35,BD-100 Challenger 350,Bombardier Aerospace (Canada),L2J,18416,200,180,125,826,C,21 m,2 x Honeywell HTF7350 turbofans (33 kN),ICAO Code: | CL30 | Notes: | CL35 has a bit more range
CL60,CL60.html,6acf2bf7e517fd67bd93ffc5eb542f822fa53886f7738a8755fd0e70a3d29d5b,CL60,Canadair Challenger,CANADAIR,L2J,19550,210,160,130,no data,C,19.6 m,2x General Electric CF34-3A,No data
CRJ1,CRJ1.html,0c0d21df090bf86e9c6880d33f10a6d8b03a1ed4f1bf21f1ec3bd8e52ba2cb1f,CRJ1,CANADAIR RJ-100 Regional Jet,CANADAIR,L2J,21500,250,190,135,1400,C,21.21 m,2 x 41 KN GE CF34-3A1 turbofans.,No data
CRJ2,CRJ2.html,d3306e0ec8881d355857b24b5c6e2f6f8a3e438613f01f3612fc78c1648073f5,CRJ2,CANADAIR RJ-200 Regional Jet,CANADAIR,L2J,21523,250,190,140,1423,C,21.21 m,2 x 41 KN GE CF34-3B1 turbofans.,No data
CRJ7,CRJ7.html,09e94ad54e403fc4bec4529f2d72c7e6a2140152e3477b09b7a03ca00383439b,CRJ7,CANADAIR RJ-700 Regional Jet,CANADAIR,L2J,33000,250,180,135,1478,C,23.24 m,2 x 56.4 or 61.3 kN rated GE CF34 - 8C1 turbofans.,No data
E135,E135.html,0d5e8ee2473aa743222d1dee4ce3f257ba500b9546899e1b0429abec00f33562,E135,EMBRAER ERJ-135,EMBRAER,L2J,19990,210,180,130,1000,C,20.2 m,"ER: 2 x 31,3 kN Allison AE-3007A3 turbofans. LR: 2 x 33,0 kN Allison AE-3007A4 turbofans.",No data
E50P,E50P.html,2d0a9b259a1e6347e5f749d590f851f5922b243ee81b035a30c29efb890a6205,E50P,Embraer 500 Phenom 100,EMBRAER,L2J,4750,140,100,120,820,B,12.3 m,"2 × Pratt & Whitney Canada PW617F-E turbofans, 7.2 kN (1,695 lbf) each",No data
E545,E545.html,1bbc1d7b624014a63b605dc9316fb47f1b6163a2c454a4ce72efc76dcdfb6ea0,No,No,No,No,,,,,,,No data,No data,No data
E55P,E55P.html,6e9755f922c97468c227eed65b894363ebd4844d859eac47a7458659fe9f2228,E55P,Embraer 505 Phenom 300,EMBRAER,L2J,7951,170,140,115,no data,C,16.2 m,"2 × Pratt & Whitney Canada PW535E turbofans, 14.2 kN (3,200 lbf) each",No data
E75S,E75S.html,91d1332c5bb3b71ae43772c2ac792f276d1ae922300be4cf2de3f8c3b8da8a3f,No,No,No,No,,,,,,,No data,No data,No data
F2TH,F2TH.html,b1753de5c9d3fcb9bdd578c10a595f86fbb53437a8eabadeffc4dc9e8647b8ec,F2TH,DASSAULT Falcon 2000,DASSAULT,L2J,16240,250,180,110,1600,B,19.3 m,2 x 26.7 kN GE CFE738-1-1B turbofans.,No data
F5,F5.html,8eacc39c36e2c0d861a40e807ee6a59579bb63306de4227b22000c5c68e8dfde,F5,A-9,NORTHROP,L2J,11187,250,no data,170,800,E,8.1 m,A/B: 2 x 12.33 kN GE J85-GE-13 (with afterburner 2 x 18.5 kN) turbojets. E/F: 2 x 15.5 kN GE J85-GE-21B (with afterburner 2 x 22.4 kN) turbojets.,No data
F900,F900.html,0bacbf8c8201d4285dda8da94cc2b8cab351b58cd4ad740411f7021b406d96ae,F900,DASSAULT-BREGUET Falcon 900,DASSAULT,L3J,21200,250,180,110,700,B,19.3 m,"3 x 20 kN Garrett TFE731-5AR-1C or 3 x 21,1 kN Alliend Signal TFE731-5BR turbofans.",No data
FA10,FA10.html,0aec76f40491f957fd8d15deddfefee54db2a627fef15693cbeab577888f87dd,FA10,Falcon 10/100,DASSAULT,L2J,8500,200,180,110,630,B,13.08 m,2 x 14.65 kN Garrett TFE731-2 turbofans.,No data
FA20,FA20.html,01bf4231b77897ad27a9fde4735e22e8b3d441af75b670f100e0594a1068f930,FA20,DASSAULT-BREGUET Falcon 20/200,DASSAULT,L2J,13160,220,160,110,1100,B,16.3 m,"20: 2 x 19.6 kN GE CF700-2D-2 turbofans. 200: 2 x 23,13 kN Garrett ATF3-6A-4C turbofans.",No data
FA50,FA50.html,b8d497b311b53b45addb2478ea414b7bc2ec6fdec0aed633d2ebb8f3b723fafe,FA50,DASSAULT-BREGUET T-16,DASSAULT,L3J,18500,250,180,130,1100,C,18.86 m,"3 x 16.8 kN Garrett TFE731-3 turbofans. EX: 3 x 16,5 kN Garrett TFE731-40 turbofans.",No data
FA7X,FA7X.html,f84faf4526f553bb831da227a8d77b843845f76b6617de6e313a2df2628d8e48,FA7X,Falcon 7X,DASSAULT,L3J,31298,200,160,104,631,B,26.21 m,2x Pratt & Whitney Canada PW307A delivering 6402 lbf (28.5kN) of thrust,No data
G150,G150.html,f78af7cde04761b592e0d921cc4954aa620727da6cf64a4bc5185555daf67cfe,G150,Gulfstream 150,Gulfstream Aerospace Corporation (United States),L2J,11839,200,180,130,878,C,16.94 m,2x Honeywell TFE731-40AR (19.7kN),No data
G280,G280.html,6fe900e6426ded5d4d4ea7def4b0a51e6ad23ab6abb7c144e9772bc5bd4bd913,G280,Gulfstream G280,Gulfstream Aerospace Corporation (United States),L2J,17962,230,190,134,950,C,19.2 m,2x Honeywell HTF7250G (7445lb /33kN),No data
GA6C,GA6C.html,b987553069890de678017028af8449ea7394a4f666d65e11d7351db36e91eed0,No,No,No,No,,,,,,,No data,No data,No data
GALX,GALX.html,900db27877284c9902e62e33dbca72d092abf0ef8571d242417df74f33525470,GALX,Gulfstream G200,Israel Aerospace Industries (IAI),L2J,15808,250,no data,130,1050,C,17.7 m,"2 x 25,4 kN P&W PW306A-5 turbofans.",No data
GL5T,GL5T.html,369fdc8bad60654eef8970e27fb83b2daabbfad2b5975afbafce70afa5c8f518,GL5T,BD-700 Global 5000,Bombardier Aerospace (Canada),L2J,41957,210,190,122,814,C,28.65 m,"2 × Rolls-Royce BR710A2-20 turbofans, 14,750 lbf (65.6 kN) each",No data
GL7T,GL7T.html,f1de9450f447ff980954b8bed32d08dd37b8f89c269363d49a1af4e0d1355492,No,No,No,No,,,,,,,No data,No data,No data
GLEX,GLEX.html,6a14b4638eaf757cab8498a7e66ad33024e7e0c00ef0d14d7488bb6a1ad4edcc,GLEX,Global Express,BOMBARDIER,L2J,44500,250,no data,125,814,C,28.6 m,"2 x 65,3 kN R-R BR710-48-C2 turbofans.",No data
GLF3,GLF3.html,413b6492db00841e939acd42aa40e47dccf159dec30ed0857da6eb23a0d9a145,GLF3,G-1159A Gulfstream 3,GULFSTREAM AEROSPACE,L2J,31620,250,180,135,1000,C,23.7 m,2 x 50.7 kN R-R Spey Mk 511-8 turbofans.,No data
GLF4,GLF4.html,7c06fe3ab58d2d27fdc51ef9ced2aa67ea41fa822f1e2a70e6263e906c455602,GLF4,Gulfstream 4,GULFSTREAM AEROSPACE,L2J,33200,250,180,140,1000,C,23.7 m,2 x 61.6 kN Rolls-Royce Tay Mk 611-8 turbofans.,No data
GLF5,GLF5.html,336b760fa5d7f549e24d5bb504c529ba6d45fd4623734b425050a31ed185947f,GLF5,Gulfstream 5,GULFSTREAM AEROSPACE,L2J,41136,250,180,140,884,C,28.5 m,"2 x 65,3 kN Rolls-Royce BR710A1-10 turbofans.",No data
H25A,H25A.html,ac2a6de551a47128d1cb0ec495c40c2228384c44cd6d9821dd74ef44a1a923fb,H25A,HS125,Hawker Siddely Aviation Ltd (United Kingdom),L2J,10568,210,200,125,310,C,14.33 m,2x Rolls-Royce Bristol Viper 522 3330lb turbojet engines.,No data
H25B,H25B.html,7505fe9eb65c5abd3e777ecaac2e7f8799b9cfe53b00783b96896604c999fc7e,H25B,Hawker 750 / 850 / 900,HAWKER BEECHCRAFT,L2J,12700,230,190,125,900,C,16.6 m,700: 2 x 16.6kN Garrett TFE 731-3-RH turbofans. 800: 2 x 20.7kN Garrett TFE 731-5BR-1H turbofans.,No data
H25C,H25C.html,6fb1161527c792b530241630f61f64e408db37a7286a2a0bae2f60fbd7e5c3ad,H25C,BAe-125-1000,RAYTHEON,L2J,14060,250,220,132,889,C,15.7 m,2 x 23.13kN PWC PW 305 turbofans.,No data
HDJT,HDJT.html,c716655b9d7cfde2b8111c7fc1f0adc4e5c63ae961d5adb9ece840bc00513623,HDJT,HA-420 HondaJet,HONDA,L2J,4519,160,140,112,829,B,12.15 m,2x 9.1kN GE Honda HF-120 turbofans,No data
LJ31,LJ31.html,e21241369ec931da27f0de234570aedb29625144fda8ec9542266e6384cf34f6,LJ31,31 (LEARJET),LEARJET,L2J,7030,250,180,120,900,B,13.3 m,2 x 15.6 kN Garrett TFE731-2B turbofans.,No data
LJ35,LJ35.html,e2345e96151eb5cc96b3ad7f9bbc865b952ecdb05e4d3f1a8bc4a2821326305c,LJ35,"35,36 (LEARJET)",LEARJET,L2J,8300,250,180,125,930,C,12 m,2 x 15.6 kN Garrett TFE731-2-2B turbofans.,No data
LJ40,LJ40.html,01b326873dfbef388491b86b0bb0b817be9003ac87a87ad07a6b481a19b6a8e9,LJ40,Learjet 40,Bombardier Aerospace (Canada),L2J,9545,250,180,115,1354,B,14.56 m,"2 × Honeywell TFE731-20AR, or -20BR in the Lear 40XR, turbofan engines, 3500 lbs (15.56 kN) each",No data
LJ45,LJ45.html,04006e930087f861813a202f5e9e324a84f596af91f5e7a346961a1394a1dce8,LJ45,45 (LEARJET),LEARJET,L2J,9230,250,170,140,810,C,14.6 m,2 x 15.57 kN Garrett TFE731-20 turbofans.,No data
LJ55,LJ55.html,baa6aa7340a10f6e932246b6a3d7e1c55e4abcd4be187105337f44188e8ce720,LJ55,LEARJET 55,LEARJET,L2J,9530,250,180,140,1000,C,13.3 m,2 x 16.46 kN Garrett TFE731-3A-2B turbofans.,No data
LJ60,LJ60.html,fd190dc2b1ff772826324cc9155f5da701751042259a4b3ac492d518077284fa,LJ60,60 (LEARJET),LEARJET,L2J,10659,250,180,140,1040,C,13.4 m,2 x 20.46 kN Pratt & Whitney Canada PW305A turbofans.,No data
MD82,MD82.html,2c5a348591d3535f0dbb1224eff5946587feebff49465f2a31a8a6e5a8c51488,MD82,MD-82,MCDONNELL DOUGLAS,L2J,67812,250,210,136,1585,C,32.8 m,2 x 89kN Pratt & Whitney JT8D-217A/C,No data
MD83,MD83.html,2fd3778c75ecc2a1b16c3c1cc1df9037dcdcea89c5e82993d2257ead686fe184,MD83,MD-83,MCDONNELL DOUGLAS,L2J,73028,250,210,137,1585,C,32.8 m,2 x 93.4kN Pratt & Whitney JT8D-219,No data
MD88,MD88.html,e5f653f7cc88a0e75ae4aba7bc9a52edbb35e811d4bc3882a22ad4fc04826906,MD88,MD-88,McDonnell Douglas Corporation (United States),L2J,67815,240,210,130,1585,C,32.82 m,2 x Pratt & Whitney JT8D-219 (93.4kN) engines,No data
P28A,P28A.html,082ac74bffe3712a4ada67d8f0e6c3a886b6bb3df0b39d7f222b6ebb7ab2bec4,P28A,"PA-28-140/161 Archer,Cherokee",PIPER,L1P,1100,110,60,65,300,A,10.7 m,161 Warrior 2: 1 x 160 HP Lycoming O - 320 - A2B piston engine with 2 blade propeller. 181 Archer 3: 1 x 180 HP Lycoming O - 360 - A4M piston engine with 2 blade propeller.,No data
PC12,PC12.html,ea03b2d0b43a50ee405af0f8867c2ec9a849d85e83731e86b6b777354edb8280,PC12,PC-12,PILATUS,L1T,4500,180,140,85,550,A,16.2 m,1 x 1.200 SHP P&W PT6A-67B turboprop with 4 bladed Hartzell propeller.,No data
PC24,PC24.html,5ec85c842c6917c831e240c87dbf816db0de749fb1e3b64dd402b508fbbde142,No,No,No,No,,,,,,,No data,No data,No data
PRM1,PRM1.html,e3bf3dc14f67bfc5f0f207379ce9a057f3a1dafd74ce4621bd64ddff9e633e8c,PRM1,390 Premier 1,HAWKER BEECHCRAFT,L2J,5670,170,110,95,968,B,13.56 m,2x Williams / Rolls-Royce FJ44-2A,No data
S22T,S22T.html,d51fd2454a374dcc81c6f919eaa3c1c5bee1d31524d733ee4801994fb0f257b3,No,No,No,No,,,,,,,No data,No data,No data
SF50,SF50.html,726e9c86209c723451760b4b08604feed04908dcad15ec478fc937829bfee1de,No,No,No,No,,,,,,,No data,No data,No data
SR22,SR22.html,7075d19ba81e3c0e7650b9b7d7c43cea662a657e94de7aaf339b7f96f337c0b3,SR22,Cirrus SR22,Cirrus Design Corporation (United States),L1P,1633,120,65,70,743,A,11.68 m,"1 × Continental IO-550-N Six cylinder horizontally opposed aircraft engine, 310 hp (230 kW)",No data
T38,T38.html,9c77e5eaba7795e86f576ce7da4705789183f9d5e9bb4ebfe1fe27a75619231c,T38,AT-38 Talon,NORTHROP,L2J,5670,250,230,160,1000,D,7.7 m,"2 x 17,1 KN GE J85-GE-5 afterburning turbojets.",No data
