typecode,segment,status_now,train_flights,val_flights,faa_engine_class,faa_aac,faa_approach_speed_kt,approach_speed_ms,faa_mtow_kg,faa_malw_kg,wing_area_m2,wing_area_source,thrust_total_kN,thrust_source,power_total_kW,thrust_to_weight,stall_margin_now,recommendation,recommendation_zh,model_code_after,stall_margin_after,stall_margin_own_mass_and_area,nearest_existing,nearest_existing_engine,nearest_existing_aac,nearest_existing_class_match,nearest_existing_stall_margin,second_nearest_existing,similarity_distance_nearest,distance_speed_term,distance_thrust_to_weight_term,similarity_distance_A320,ps_model_code,stall_margin_ps,notes
CL60,business_jet,A320,256,59,Jet,C,137.0,70.5,21591,17237,,,77.7,easa_tcds_im_e_233_i3,,0.367,1.31,surrogate GLF6,改用 GLF6,GLF6,1.62,,GLF6,Jet,C,True,1.62,B752,0.071,0.0,0.071,0.171,,,
CL30,business_jet,A320,254,51,Jet,C,126.0,64.8,17622,15309,48.5,easa_tcds_im_a_080_i11,61.5,easa_tcds_im_e_058_i10,,0.356,1.21,own parameters (primary documents),用本机参数（一手文件）,CL30,1.35,1.35,E170,Jet,C,True,1.25,B737,0.033,0.032,0.001,0.278,,,
E545,business_jet,A320,222,47,Jet,B,111.0,57.1,16204,14750,44.85,easa_tcds_im_a_526_i12,59.1,easa_tcds_im_a_526_i12,,0.372,1.06,own parameters (primary documents),用本机参数（一手文件）,E545,1.17,1.17,C550,Jet,B,True,1.45,,0.227,0.111,0.115,0.576,,,
C25B,business_jet,A320,214,42,Jet,B,108.0,55.6,6291,5783,27.32,easa_tcds_im_a_078_i19,25.1,easa_tcds_im_e_016_i13,,0.406,1.03,own parameters (primary documents),用本机参数（一手文件）,C25B,1.42,1.42,C550,Jet,B,True,1.41,,0.261,0.056,0.205,0.72,,,
C208,turboprop,A320,202,53,Turboprop,A,79.0,40.6,4110,3538,25.96,easa_tcds_im_a_226_i15,,,503,,0.76,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.29,C172,Piston,A,False,1.93,C550,0.485,0.485,,1.086,,,
B712,airliner,A320,188,32,Jet,C,139.0,71.5,53524,45359,92.97,easa_tcds_im_a_211_i3,190.7,easa_tcds_e_023_i1,,0.363,1.33,own parameters (primary documents),用本机参数（一手文件）,B712,1.33,1.33,GLF6,Jet,C,True,1.65,B752,0.091,0.029,0.062,0.19,B712,1.29,
E75S,airliner,A320,183,49,Jet,C,124.0,63.8,37500,34000,72.72,easa_tcds_im_a_001_i13,125.0,easa_tcds_im_e_053_i4,,0.34,1.19,own parameters (primary documents),用本机参数（一手文件）,E75S,1.21,1.21,E170,Jet,C,True,1.23,E145,0.046,0.0,0.046,0.265,E75S,1.29,PS wing area 83 m2 differs from the primary document 72.72 m2
GLF4,business_jet,A320,175,43,Jet,D,144.0,74.1,33203,29937,,,123.2,easa_tcds_e_063_i6,,0.378,1.38,surrogate CRJ9,改用 CRJ9,CRJ9,1.4,,CRJ9,Jet,D,True,1.4,B738,0.198,0.042,0.156,0.302,,,
B350,turboprop,A320,172,51,Turboprop,B,107.0,55.0,6804,6804,27.87,easa_tcds_im_a_277_i22,,,1566,,1.02,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.31,C550,Jet,B,False,1.4,A318,0.038,0.038,,0.48,,,
GLF5,business_jet,OpenAP 同义 GLF6,163,35,Jet,C,136.0,70.0,41050,34156,105.56,PS,137.5,PS F00,,0.342,1.61,keep OpenAP synonym (GLF6),保留 OpenAP 的同义机型 GLF6,GLF6,1.61,1.6,GLF6,Jet,C,True,1.61,A320,0.015,0.015,0.0,0.085,GLF5,1.6,
C750,business_jet,A320,159,24,Jet,C,131.0,67.4,16375,14424,48.96,easa_tcds_im_a_097_i3,60.2,easa_tcds_im_e_044_i5,,0.375,1.25,own parameters (primary documents),用本机参数（一手文件）,C750,1.46,1.46,B737,Jet,C,True,1.28,E170,0.11,0.015,0.095,0.252,,,
GLEX,business_jet,A320,159,28,Jet,C,131.0,67.4,45132,35652,,,131.2,easa_tcds_e_018_i16,,0.296,1.25,surrogate A19N,改用 A19N,A19N,1.3,,A19N,Jet,C,True,1.3,A319,0.033,0.015,0.018,0.132,,,
S22T,piston_ga,A320,157,28,Piston,A,77.0,39.6,1633,1633,13.46,easa_tcds_im_a_007_i19,,,235,,0.74,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.33,C172,Piston,A,True,1.88,,0.433,0.433,,1.138,,,
G280,business_jet,A320,156,33,Jet,C,125.0,64.3,17962,14832,,,66.1,easa_tcds_im_a_348_i6,,0.375,1.2,surrogate E170,改用 E170,E170,1.24,,E170,Jet,C,True,1.24,E145,0.068,0.016,0.052,0.347,,,
SR22,piston_ga,A320,148,37,Piston,A,78.0,40.1,1070,1542,13.46,easa_tcds_im_a_007_i19,,,231,,0.75,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.39,C172,Piston,A,True,1.91,,0.459,0.459,,1.112,,,
A306,airliner,OpenAP 同义 A332,145,33,Jet,C,137.0,70.5,164999,137996,260.0,PS,524.9,PS F00,,0.324,1.22,keep OpenAP synonym (A332),保留 OpenAP 的同义机型 A332,A332,1.22,1.18,B752,Jet,C,True,1.21,A20N,0.03,0.0,0.03,0.048,A306,1.18,
H25B,business_jet,A320,127,27,Jet,C,137.0,70.5,12701,10591,,,42.3,faa_tcds_e6we_r18,,0.339,1.31,surrogate GLF6,改用 GLF6,GLF6,1.62,,GLF6,Jet,C,True,1.62,B752,0.007,0.0,0.007,0.093,,,
C680,business_jet,A320,120,16,Jet,B,108.0,55.6,13744,12292,47.93,easa_tcds_im_a_033_i9,51.3,easa_tcds_im_e_051_i4,,0.381,1.03,own parameters (primary documents),用本机参数（一手文件）,C680,1.29,1.29,C550,Jet,B,True,1.41,,0.196,0.056,0.14,0.655,,,
LJ45,business_jet,OpenAP 同义 GLF6,113,20,Jet,C,123.0,63.3,9752,8709,,,,,,,1.46,keep OpenAP synonym (GLF6),保留 OpenAP 的同义机型 GLF6,GLF6,1.46,,E145,Jet,C,True,1.21,E170,0.016,0.016,,0.201,,,thrust-to-weight not checked (no thrust from a primary document)
C560,business_jet,A320,107,13,Jet,B,103.0,53.0,7394,6895,31.83,easa_tcds_im_a_207_i10,27.1,faa_tcds_e45ne_orig,,0.373,0.99,own parameters (primary documents),用本机参数（一手文件）,C560,1.33,1.33,C550,Jet,B,True,1.34,,0.159,0.038,0.121,0.73,,,
BE20,turboprop,A320,100,15,Turboprop,B,107.0,55.0,5670,5670,28.1496,easa_tcds_im_a_277_i22,,,1268,,1.02,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.44,C550,Jet,B,False,1.4,A318,0.038,0.038,,0.48,,,
GA6C,business_jet,A320,89,12,Jet,C,129.0,66.4,42910,34836,,,142.4,easa_tcds_im_e_096_i7,,0.338,1.24,surrogate B737,改用 B737,B737,1.26,,B737,Jet,C,True,1.26,E75L,0.022,0.015,0.007,0.182,,,
GL7T,business_jet,A320,88,23,Jet,C,125.0,64.3,48194,38918,,,168.3,easa_tcds_im_e_113_i6,,0.356,1.2,surrogate E170,改用 E170,E170,1.24,,E170,Jet,C,True,1.24,E145,0.017,0.016,0.001,0.295,,,FAA AAC column B contradicts its approach speed; category C from the speed
GL5T,business_jet,OpenAP 同义 GLF6,82,18,Jet,C,128.0,65.8,41957,35652,,,,,,,1.52,keep OpenAP synonym (GLF6),保留 OpenAP 的同义机型 GLF6,GLF6,1.52,,B737,Jet,C,True,1.25,A19N,0.031,0.031,,0.121,,,thrust-to-weight not checked (no thrust from a primary document)
F2TH,business_jet,A320,80,12,Jet,C,130.0,66.9,19232,17826,49.0,easa_tcds_a_008_i13,62.3,easa_tcds_im_e_057_i6,,0.33,1.24,own parameters (primary documents),用本机参数（一手文件）,F2TH,1.3,1.3,B737,Jet,C,True,1.27,E75L,0.031,0.0,0.031,0.142,,,
BE36,piston_ga,A320,77,17,Piston,A,77.0,39.6,1656,1656,16.82,easa_tcds_im_a_279_i3,,,224,,0.74,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.48,C172,Piston,A,True,1.88,,0.433,0.433,,1.138,,,
CRJ2,airliner,OpenAP 同义 E145,75,11,Jet,D,141.0,72.5,21523,20276,,,,,,,1.38,surrogate CRJ9,改用 CRJ9,CRJ9,1.38,,CRJ9,Jet,D,True,1.38,A321,0.0,0.0,,0.072,,,thrust-to-weight not checked (no thrust from a primary document)
C25M,business_jet,A320,73,11,Jet,B,100.0,51.4,4853,4491,22.3,easa_tcds_im_a_078_i19,17.5,easa_tcds_im_a_078_i19,,0.367,0.96,own parameters (primary documents),用本机参数（一手文件）,C25M,1.34,1.34,C550,Jet,B,True,1.3,,0.201,0.098,0.104,0.773,,,
SF50,business_jet,A320,69,16,Jet,A,87.0,44.8,2722,,18.18,easa_tcds_im_a_615_i6,8.2,easa_tcds_im_e_016_i13,,0.308,0.83,no airframe of the same propulsion class and approach category: exclude or new data,排除：模型里没有同动力、同进近类别的机型,,,,C550,Jet,B,False,1.13,A318,0.45,0.376,0.074,0.913,,,
PC24,business_jet,OpenAP 同义 C550,68,13,Jet,B,107.0,55.0,8301,7666,,,,,,,1.4,keep OpenAP synonym (C550),保留 OpenAP 的同义机型 C550,C550,1.4,,C550,Jet,B,True,1.4,,0.038,0.038,,0.48,,,thrust-to-weight not checked (no thrust from a primary document)
DA40,piston_ga,A320,64,17,Piston,A,77.0,39.6,1310,1092,13.244,easa_tcds_im_a_022_i24,,,124,,0.74,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.62,C172,Piston,A,True,1.88,,0.433,0.433,,1.138,,,
BE58,piston_ga,A320,63,15,Piston,B,95.0,48.9,2495,2449,18.5,easa_tcds_im_a_280_i4,,,448,,0.91,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.57,C550,Jet,B,False,1.24,A318,0.2,0.2,,0.718,,,
BE40,business_jet,A320,62,12,Jet,B,114.0,58.6,7303,7121,,,26.4,easa_tcds_im_e_077_i1,,0.368,1.09,surrogate C550,改用 C550,C550,1.49,,C550,Jet,B,True,1.49,,0.271,0.164,0.107,0.513,,,
C25A,business_jet,OpenAP 同义 C550,61,14,Jet,B,114.0,58.6,5670,5228,,,,,,,1.49,keep OpenAP synonym (C550),保留 OpenAP 的同义机型 C550,C550,1.49,,C550,Jet,B,True,1.49,,0.164,0.164,,0.353,,,thrust-to-weight not checked (no thrust from a primary document)
C408,turboprop,A320,60,16,,,,,,,,,,,1656,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
LJ60,business_jet,A320,59,12,Jet,C,125.0,64.3,10319,8845,,,40.9,easa_tcds_im_a_212_i4,,0.404,1.2,surrogate E170,改用 E170,E170,1.24,,E170,Jet,C,True,1.24,E145,0.144,0.016,0.128,0.422,,,
E550,business_jet,A320,52,11,Jet,B,113.0,58.1,17400,15660,44.85,easa_tcds_im_a_526_i12,63.5,easa_tcds_im_a_526_i12,,0.372,1.08,own parameters (primary documents),用本机参数（一手文件）,E550,1.15,1.15,C550,Jet,B,True,1.47,,0.264,0.147,0.117,0.541,,,
F900,business_jet,A320,52,10,Jet,C,130.0,66.9,22226,20185,,,66.7,easa_tcds_im_e_011_i8,,0.306,1.24,surrogate A19N,改用 A19N,A19N,1.29,,A19N,Jet,C,True,1.29,E75L,0.05,0.0,0.05,0.115,,,
C25C,business_jet,A320,51,13,Jet,B,111.0,57.1,7761,7103,30.67,easa_tcds_im_a_078_i19,32.2,easa_tcds_im_e_016_i13,,0.423,1.06,own parameters (primary documents),用本机参数（一手文件）,C25C,1.39,1.39,C550,Jet,B,True,1.45,,0.356,0.111,0.245,0.705,,,
C525,business_jet,OpenAP 同义 C550,47,13,Jet,B,108.0,55.6,4853,4491,,,,,,,1.41,keep OpenAP synonym (C550),保留 OpenAP 的同义机型 C550,C550,1.41,,C550,Jet,B,True,1.41,,0.056,0.056,,0.461,,,thrust-to-weight not checked (no thrust from a primary document)
TBM9,turboprop,A320,47,6,Turboprop,A,85.0,43.7,3354,3186,18.0,easa_tcds_a_010_i22,,,634,,0.81,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.22,C550,Jet,B,False,1.11,C172,0.423,0.423,,0.94,,,
GALX,business_jet,A320,45,13,Jet,C,130.0,66.9,16171,13608,,,53.7,easa_tcds_im_e_051_i4,,0.339,1.24,surrogate B737,改用 B737,B737,1.27,,B737,Jet,C,True,1.27,GLF6,0.006,0.0,0.006,0.167,,,
BE9L,turboprop,A320,43,11,Turboprop,B,100.0,51.4,4756,4354,27.308,easa_tcds_im_a_503_i9,,,820,,0.96,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.51,C550,Jet,B,False,1.3,A318,0.098,0.098,,0.615,,,
P28R,piston_ga,A320,43,6,Piston,A,73.0,37.6,1251,1315,,,,,149,,0.7,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.79,,0.327,0.327,,1.244,,,
BE35,piston_ga,A320,40,7,Piston,A,72.0,37.0,1542,1542,,,,,,,0.69,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.76,,0.299,0.299,,1.272,,,
GA7C,business_jet,A320,40,7,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
C82T,piston_ga,A320,39,10,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
P180,turboprop,A320,39,9,Turboprop,C,121.0,62.2,5466,5216,,,,,,,1.16,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,A318,Jet,C,False,1.24,E145,0.0,0.0,,0.234,,,
PA38,piston_ga,A320,38,10,Piston,A,60.0,30.9,757,757,,,,,,,0.57,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.47,,0.066,0.066,,1.637,,,
AT43,airliner,A320,37,10,Turboprop,B,104.0,53.5,16704,16402,,,,,,,1.0,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.36,A318,0.019,0.019,,0.537,,,
T210,piston_ga,A320,35,6,Piston,A,73.0,37.6,1724,1724,,,,,,,0.7,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.79,,0.327,0.327,,1.244,,,
HDJT,business_jet,A320,34,0,Jet,B,111.0,57.1,4100,4472,,,,,,,1.06,surrogate C550,改用 C550,C550,1.45,,C550,Jet,B,True,1.45,,0.111,0.111,,0.406,,,thrust-to-weight not checked (no thrust from a primary document)
PRM1,business_jet,A320,34,9,Jet,B,120.0,61.7,5670,5262,22.9,easa_tcds_im_a_073_i2,20.5,easa_tcds_im_e_016_i13,,0.368,1.15,own parameters (primary documents),用本机参数（一手文件）,PRM1,1.51,1.51,C550,Jet,B,True,1.56,,0.373,0.267,0.106,0.41,,,
GA5C,business_jet,A320,32,10,Jet,C,132.0,67.9,36106,29189,,,,,,,1.26,surrogate B737,改用 B737,B737,1.29,,B737,Jet,C,True,1.29,A19N,0.031,0.031,,0.06,,,thrust-to-weight not checked (no thrust from a primary document)
M20P,piston_ga,A320,30,8,Piston,A,77.0,39.6,1530,1451,,,,,,,0.74,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.88,,0.433,0.433,,1.138,,,
P46T,turboprop,A320,28,3,Turboprop,A,75.0,38.6,2310,2200,,,,,,,0.72,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,False,1.84,C550,0.381,0.381,,1.19,,,
C425,turboprop,A320,26,7,Turboprop,B,98.0,50.4,3901,3629,,,,,,,0.94,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.28,A318,0.138,0.138,,0.655,,,
C510,business_jet,A320,26,4,Jet,B,105.0,54.0,3921,3629,,,,,,,1.01,surrogate C550,改用 C550,C550,1.37,,C550,Jet,B,True,1.37,,0.0,0.0,,0.517,,,thrust-to-weight not checked (no thrust from a primary document)
FA7X,business_jet,A320,26,6,Jet,B,104.0,53.5,31751,28304,,,,,,,1.0,surrogate C550,改用 C550,C550,1.36,,C550,Jet,B,True,1.36,,0.019,0.019,,0.537,,,thrust-to-weight not checked (no thrust from a primary document)
GA8C,business_jet,A320,25,6,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
C650,business_jet,A320,24,7,Jet,C,126.0,64.8,10433,7711,,,,,,,1.21,surrogate E75L,改用 E75L,E75L,1.23,,E75L,Jet,C,True,1.23,A319,0.0,0.0,,0.153,,,thrust-to-weight not checked (no thrust from a primary document)
EPIC,turboprop,A320,24,3,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
FA50,business_jet,A320,24,8,Jet,C,124.0,63.8,18008,16200,,,,,,,1.19,surrogate E145,改用 E145,E145,1.22,,E145,Jet,C,True,1.22,E170,0.0,0.0,,0.185,,,thrust-to-weight not checked (no thrust from a primary document)
P32R,piston_ga,A320,24,6,Piston,A,80.0,41.2,1633,1633,,,,,,,0.77,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.96,,0.51,0.51,,1.061,,,
BE30,turboprop,A320,23,4,Turboprop,B,107.0,55.0,6350,6350,,,,,,,1.02,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.4,A318,0.038,0.038,,0.48,,,
BE95,piston_ga,A320,21,1,Piston,A,79.0,40.6,1905,,,,,,,,0.76,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.93,,0.485,0.485,,1.086,,,
E50P,business_jet,A320,21,4,Jet,B,100.0,51.4,4800,4430,,,,,,,0.96,surrogate C550,改用 C550,C550,1.3,,C550,Jet,B,True,1.3,,0.098,0.098,,0.615,,,thrust-to-weight not checked (no thrust from a primary document)
LJ31,business_jet,A320,19,9,Jet,B,120.0,61.7,7031,6940,,,,,,,1.15,surrogate C550,改用 C550,C550,1.56,,C550,Jet,B,True,1.56,,0.267,0.267,,0.25,,,surrogate is not closer than A320 in similarity distance; thrust-to-weight not checked (no thrust from a primary document)
C150,piston_ga,A320,18,4,Piston,A,55.0,28.3,726,726,,,,,,,0.53,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.35,,0.24,0.24,,1.811,,,
A30B,airliner,A320,17,3,Jet,C,137.0,70.5,164999,136000,260.0,PS,466.2,PS F00,,0.288,1.31,PS parameters (A30B),用 PS 本机参数（A30B）,A30B,1.2,1.19,A332,Jet,C,True,1.22,B734,0.029,0.015,0.014,0.1,A30B,1.2,
BT36,piston_ga,A320,17,0,Piston,A,73.0,37.6,1746,1746,,,,,,,0.7,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.79,,0.327,0.327,,1.244,,,
E35L,business_jet,A320,17,3,Jet,C,124.0,63.8,20000,18500,,,,,,,1.19,surrogate E145,改用 E145,E145,1.22,,E145,Jet,C,True,1.22,E170,0.0,0.0,,0.185,,,thrust-to-weight not checked (no thrust from a primary document)
C182,piston_ga,A320,16,6,Piston,A,65.0,33.4,1406,1338,,,,,,,0.62,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.59,,0.095,0.095,,1.477,,,
DA42,piston_ga,A320,16,4,Piston,A,88.0,45.3,1785,1700,,,,,,,0.84,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,2.15,,0.7,0.7,,0.871,,,
G150,business_jet,A320,15,2,Jet,C,130.0,66.9,11839,9843,,,,,,,1.24,surrogate B737,改用 B737,B737,1.27,,B737,Jet,C,True,1.27,A19N,0.0,0.0,,0.09,,,thrust-to-weight not checked (no thrust from a primary document)
PA34,piston_ga,A320,15,4,Piston,A,81.0,41.7,2155,2047,,,,,,,0.78,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.98,,0.535,0.535,,1.036,,,
PA46,piston_ga,A320,15,6,Piston,A,75.0,38.6,1969,1769,,,,,,,0.72,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.84,,0.381,0.381,,1.19,,,
AA5,piston_ga,A320,14,2,Piston,A,69.0,35.5,998,998,,,,,,,0.66,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.69,,0.214,0.214,,1.357,,,
C340,piston_ga,A320,14,2,Piston,B,94.0,48.4,2717,2717,,,,,,,0.9,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.23,A318,0.221,0.221,,0.739,,,
C82R,piston_ga,A320,14,2,Piston,A,64.0,32.9,1406,1338,,,,,,,0.61,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.57,,0.063,0.063,,1.508,,,
TBM7,turboprop,A320,14,5,Turboprop,A,74.0,38.1,3000,2835,,,,,,,0.71,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,False,1.81,C550,0.354,0.354,,1.217,,,
C414,piston_ga,A320,12,2,Piston,B,95.0,48.9,3062,3062,,,,,,,0.91,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.24,A318,0.2,0.2,,0.718,,,
PA32,piston_ga,A320,12,2,Piston,A,78.0,40.1,1633,1633,,,,,,,0.75,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.91,,0.459,0.459,,1.112,,,
PA44,piston_ga,A320,12,2,Piston,A,66.0,34.0,1724,1724,,,,,,,0.63,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.62,,0.125,0.125,,1.446,,,
SR20,piston_ga,A320,12,3,Piston,A,74.0,38.1,964,1315,,,,,,,0.71,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.81,,0.354,0.354,,1.217,,,
SW4,turboprop,A320,12,4,Turboprop,B,112.0,57.6,7257,7110,,,,,,,1.07,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.46,A318,0.129,0.129,,0.388,,,
FA8X,business_jet,A320,11,2,Jet,B,106.0,54.5,33112,28304,,,,,,,1.01,surrogate C550,改用 C550,C550,1.38,,C550,Jet,B,True,1.38,,0.019,0.019,,0.498,,,thrust-to-weight not checked (no thrust from a primary document)
BE33,piston_ga,A320,10,2,Piston,A,69.0,35.5,1542,1542,,,,,,,0.66,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.69,,0.214,0.214,,1.357,,,
