flight_id,split,rows,pairs_2s,pairs_10s,pairs_30s,pairs_60s,pairs_120s
KRDU:AAL173_23R_aa7082_20260718T202829Z,val,147,146,142,132,117,87
KRDU:AAL173_23R_aa7439_20260506T201530Z,val,146,145,141,131,116,86
KRDU:AAL173_23R_aa7439_20260509T195742Z,train,137,136,132,122,107,77
KRDU:AAL173_23R_aa7439_20260519T195001Z,train,142,141,137,127,112,82
KRDU:AAL173_23R_aa7ba7_20260721T201828Z,train,126,125,121,111,96,66
KRDU:AAL173_23R_aa86cc_20260711T200535Z,train,120,119,115,105,90,60
KRDU:AAL173_23R_aa944a_20260520T202542Z,train,132,131,127,117,102,72
KRDU:AAL173_23R_aa9801_20260526T201057Z,train,144,143,139,129,114,84
KRDU:AAL173_23R_aa9f6f_20260628T194933Z,train,129,128,124,114,99,69
KRDU:AAL173_23R_aaa326_20260531T201656Z,train,129,128,124,114,99,69
KRDU:AAL173_23R_aaa326_20260702T202354Z,val,126,125,121,111,96,66
KRDU:AAL173_23R_aaa6dd_20260516T200528Z,train,142,141,137,127,112,82
KRDU:AAL173_23R_aab812_20260513T215732Z,train,139,138,134,124,109,79
KRDU:AAL173_23R_aabbc9_20260704T211323Z,val,129,128,124,114,99,69
KRDU:AAL173_23R_aabbc9_20260715T201600Z,val,132,131,127,117,102,72
KRDU:AAL173_23R_aac6ee_20260708T195108Z,train,122,121,117,107,92,62
KRDU:AAL173_23R_aacaa5_20260501T202135Z,val,141,140,136,126,111,81
KRDU:AAL173_23R_aacaa5_20260709T204919Z,train,128,127,123,113,98,68
KRDU:AAL173_23R_aad213_20260706T005050Z,val,131,130,126,116,101,71
KRDU:AAL173_23R_aad981_20260510T203420Z,val,128,127,123,113,98,68
KRDU:AAL1846_05L_aaf0ce_20260717T132624Z,train,288,287,283,273,258,228
KRDU:AAL1846_05L_aaffaa_20260714T134033Z,train,310,309,305,295,280,250
KRDU:AAL1846_05L_ab525f_20260712T134619Z,train,338,337,333,323,308,278
KRDU:AAL1846_23R_a13541_20260707T132021Z,train,140,139,135,125,110,80
KRDU:AAL1846_23R_a99077_20260702T133141Z,train,138,137,133,123,108,78
KRDU:AAL1846_23R_aa55ee_20260704T132905Z,train,140,139,135,125,110,80
KRDU:AAL1846_23R_aa59a5_20260708T144031Z,train,132,131,127,117,102,72
KRDU:AAL1846_23R_aaf485_20260718T170323Z,train,142,141,137,127,112,82
KRDU:AAL1846_23R_ab184d_20260709T133426Z,train,134,133,129,119,104,74
KRDU:AAL1846_23R_ab2729_20260715T135953Z,train,141,140,136,126,111,81
KRDU:AAL1846_23R_ab3fcc_20260716T132552Z,train,138,137,133,123,108,78
KRDU:AAL1846_23R_ab473a_20260705T132138Z,train,145,144,140,130,115,85
KRDU:AAL1846_23R_ab674b_20260719T133447Z,train,143,142,138,128,113,83
KRDU:AAL1846_23R_ab79de_20260711T134048Z,train,139,138,134,124,109,79
KRDU:AAL1852_05L_a3f500_20260531T100244Z,train,151,150,146,136,121,91
KRDU:AAL1852_05L_abd77e_20260707T104309Z,train,295,294,290,280,265,235
KRDU:AAL1852_05L_ace0d2_20260713T103620Z,train,245,244,240,230,215,185
KRDU:AAL1852_05L_ad5623_20260629T105111Z,train,311,310,306,296,281,251
KRDU:AAL1852_23R_a11b00_20260526T093051Z,train,143,142,138,128,113,83
KRDU:AAL1852_23R_a3244f_20260703T102217Z,train,139,138,134,124,109,79
KRDU:AAL1852_23R_a35b39_20260719T112129Z,val,134,133,129,119,104,74
KRDU:AAL1852_23R_a3b11e_20260530T100152Z,train,227,226,222,212,197,167
KRDU:AAL1852_23R_ab7b02_20260628T114618Z,train,337,336,332,322,307,277
KRDU:AAL1852_23R_ab8112_20260718T101427Z,train,135,134,130,120,105,75
KRDU:AAL1852_23R_ac31a1_20260711T101516Z,train,274,273,269,259,244,214
KRDU:AAL1852_23R_ac407d_20260710T104913Z,val,329,328,324,314,299,269
KRDU:AAL1852_23R_ac96b8_20260721T105454Z,train,157,156,152,142,127,97
KRDU:AAL1852_23R_ad237f_20260527T114945Z,train,152,151,147,137,122,92
KRDU:AAL1852_23R_ad5398_20260627T104019Z,train,131,130,126,116,101,71
KRDU:AAL1852_23R_ad8895_20260717T103606Z,train,122,121,117,107,92,62
KRDU:AAL1852_23R_ad8ed7_20260712T103120Z,val,134,133,129,119,104,74
KRDU:AAL1852_23R_adac5d_20260706T110538Z,train,156,155,151,141,126,96
KRDU:AAL1891_05L_ab15ba_20260511T220443Z,val,139,138,134,124,109,79
KRDU:AAL1891_05L_ab64b8_20260515T210518Z,val,123,122,118,108,93,63
KRDU:AAL1891_05R_ad0851_20260507T212414Z,val,140,139,135,125,110,80
KRDU:AAL1891_23R_a35388_20260506T212422Z,train,275,274,270,260,245,215
KRDU:AAL1891_23R_a362b2_20260520T213920Z,train,142,141,137,127,112,82
KRDU:AAL1891_23R_ab5383_20260518T214413Z,train,328,327,323,313,298,268
KRDU:AAL1891_23R_abd3c7_20260506T022301Z,train,304,303,299,289,274,244
KRDU:AAL1891_23R_ac0dd9_20260501T212054Z,train,138,137,133,123,108,78
KRDU:AAL1891_23R_aca309_20260513T211342Z,train,170,169,165,155,140,110
KRDU:AAL1891_23R_ace0d2_20260504T212225Z,train,318,317,313,303,288,258
KRDU:AAL1891_23R_ad0d35_20260508T225217Z,val,218,217,213,203,188,158
KRDU:AAL1891_23R_ad10ec_20260514T212238Z,train,319,318,314,304,289,259
KRDU:AAL1891_23R_ad185a_20260512T212850Z,train,180,179,175,165,150,120
KRDU:AAL1891_23R_adb29f_20260517T235503Z,train,171,170,166,156,141,111
KRDU:AAL1891_23R_adf194_20260519T213700Z,train,144,143,139,129,114,84
KRDU:AAL1952_23R_a14da8_20260710T195643Z,train,145,144,140,130,115,85
KRDU:AAL2069_23R_a0e431_20260706T023715Z,train,137,136,132,122,107,77
KRDU:AAL2083_05L_a9618a_20260715T020537Z,train,263,262,258,248,233,203
KRDU:AAL2083_05L_a9942e_20260629T044246Z,train,330,329,325,315,300,270
KRDU:AAL2083_05L_a9a91a_20260630T004322Z,train,284,283,279,269,254,224
KRDU:AAL2083_05L_a9b7f6_20260701T010017Z,train,304,303,299,289,274,244
KRDU:AAL2083_05L_a9e6df_20260713T005213Z,train,218,217,213,203,188,158
KRDU:AAL2083_05L_a9f461_20260525T021604Z,train,290,289,285,275,260,230
KRDU:AAL2083_05L_aa3226_20260523T005956Z,train,147,146,142,132,117,87
KRDU:AAL2083_05L_ab0361_20260529T005050Z,train,254,253,249,239,224,194
KRDU:AAL2083_05L_ab1496_20260709T012637Z,train,134,133,129,119,104,74
KRDU:AAL2083_05L_ab30f0_20260718T020610Z,train,139,138,134,124,109,79
KRDU:AAL2083_05R_ab473a_20260522T014935Z,train,158,157,153,143,128,98
KRDU:AAL2083_23L_ab184d_20260717T061434Z,train,169,168,164,154,139,109
KRDU:AAL2083_23L_ab5fdd_20260706T025826Z,train,146,145,141,131,116,86
KRDU:AAL2083_23R_a9618a_20260716T012704Z,val,135,134,130,120,105,75
KRDU:AAL2083_23R_a9653d_20260526T011126Z,train,159,158,154,144,129,99
KRDU:AAL2083_23R_a9741d_20260708T024654Z,train,141,140,136,126,111,81
KRDU:AAL2083_23R_a9b43f_20260721T054841Z,val,150,149,145,135,120,90
KRDU:AAL2083_23R_aa2701_20260711T042211Z,train,143,142,138,128,113,83
KRDU:AAL2083_23R_aa4e80_20260528T022356Z,train,154,153,149,139,124,94
KRDU:AAL2083_23R_aa763f_20260702T004503Z,val,133,132,128,118,103,73
KRDU:AAL2083_23R_aa79f6_20260530T012811Z,train,144,143,139,129,114,84
KRDU:AAL2083_23R_aaed17_20260627T013509Z,train,147,146,142,132,117,87
KRDU:AAL2083_23R_ab1496_20260710T043250Z,train,142,141,137,127,112,82
KRDU:AAL2083_23R_ab7fee_20260704T005643Z,train,141,140,136,126,111,81
KRDU:AAL2105_05L_aaf1f2_20260511T232322Z,train,157,156,152,142,127,97
KRDU:AAL2105_05L_ad237f_20260502T223449Z,val,140,139,135,125,110,80
KRDU:AAL2105_23L_ac066b_20260512T231840Z,train,142,141,137,127,112,82
KRDU:AAL2105_23R_a356f6_20260508T224720Z,train,155,154,150,140,125,95
KRDU:AAL2105_23R_a35e9c_20260518T224512Z,val,134,133,129,119,104,74
KRDU:AAL2105_23R_a3b529_20260519T223619Z,train,331,330,326,316,301,271
KRDU:AAL2105_23R_a3b529_20260520T224044Z,val,207,206,202,192,177,147
KRDU:AAL2105_23R_abbedb_20260501T231138Z,train,335,334,330,320,305,275
KRDU:AAL2105_23R_abfefd_20260509T235314Z,train,171,170,166,156,141,111
KRDU:AAL2105_23R_ac390f_20260517T230434Z,train,227,226,222,212,197,167
KRDU:AAL2105_23R_acb827_20260504T225547Z,train,194,193,189,179,164,134
KRDU:AAL2105_23R_ace0d2_20260504T004131Z,train,138,137,133,123,108,78
KRDU:AAL2105_23R_ace6e2_20260515T224629Z,val,292,291,287,277,262,232
KRDU:AAL2105_23R_ace96d_20260510T222653Z,train,184,183,179,169,154,124
KRDU:AAL2105_23R_ad5d5f_20260506T223158Z,train,289,288,284,274,259,229
KRDU:AAL2105_23R_ad63a1_20260514T223951Z,train,277,276,272,262,247,217
KRDU:AAL2105_23R_ad7b17_20260516T223811Z,train,175,174,170,160,145,115
KRDU:AAL2105_23R_add2b0_20260513T230222Z,train,140,139,135,125,110,80
KRDU:AAL2167_05L_a9942e_20260630T032652Z,train,300,299,295,285,270,240
KRDU:AAL2167_05L_a9e6df_20260524T053651Z,train,348,347,343,333,318,288
KRDU:AAL2167_05L_a9f461_20260529T043630Z,val,280,279,275,265,250,220
KRDU:AAL2167_05L_aa3994_20260531T034949Z,val,302,301,297,287,272,242
KRDU:AAL2167_05L_aa3994_20260709T051537Z,val,174,173,169,159,144,114
KRDU:AAL2167_05L_aa763f_20260701T033408Z,train,309,308,304,294,279,249
KRDU:AAL2167_05L_aaf0ce_20260714T084106Z,train,274,273,269,259,244,214
KRDU:AAL2167_05L_ab1c04_20260629T033416Z,train,347,346,342,332,317,287
KRDU:AAL2167_05L_ab6394_20260523T040749Z,val,346,345,341,331,316,286
KRDU:AAL2167_05L_ab6b02_20260713T041930Z,train,294,293,289,279,264,234
KRDU:AAL2167_23L_a9653d_20260716T034707Z,val,153,152,148,138,123,93
KRDU:AAL2167_23R_a9653d_20260708T035428Z,train,138,137,133,123,108,78
KRDU:AAL2167_23R_a9a91a_20260703T035607Z,train,157,156,152,142,127,97
KRDU:AAL2167_23R_a9d44c_20260527T034723Z,train,147,146,142,132,117,87
KRDU:AAL2167_23R_a9d44c_20260528T053115Z,val,182,181,177,167,152,122
KRDU:AAL2167_23R_a9d807_20260530T034652Z,train,163,162,158,148,133,103
KRDU:AAL2167_23R_a9d807_20260718T053758Z,train,169,168,164,154,139,109
KRDU:AAL2167_23R_aa0e62_20260721T055650Z,train,151,150,146,136,121,91
KRDU:AAL2167_23R_aa2e6f_20260628T042604Z,train,163,162,158,148,133,103
KRDU:AAL2167_23R_aa35e1_20260710T054522Z,train,150,149,145,135,120,90
KRDU:AAL2167_23R_aa55ee_20260525T034057Z,train,165,164,160,150,135,105
KRDU:AAL2167_23R_aa59a5_20260706T045348Z,train,139,138,134,124,109,79
KRDU:AAL2167_23R_aa6ade_20260717T090833Z,train,157,156,152,142,127,97
KRDU:AAL2167_23R_aa88d2_20260702T035403Z,train,163,162,158,148,133,103
KRDU:AAL2167_23R_ab2372_20260720T062505Z,train,157,156,152,142,127,97
KRDU:AAL2167_23R_ab3fcc_20260627T032757Z,train,164,163,159,149,134,104
KRDU:AAL2167_23R_ab4383_20260719T035521Z,val,147,146,142,132,117,87
KRDU:AAL2307_05L_a06db4_20260503T054424Z,val,133,132,128,118,103,73
KRDU:AAL2307_05L_a0c075_20260515T033039Z,train,298,297,293,283,268,238
KRDU:AAL2307_05L_ac72e4_20260501T025646Z,train,285,284,280,270,255,225
KRDU:AAL2307_05L_ac892e_20260512T040300Z,train,156,155,151,141,126,96
KRDU:AAL2307_23R_a07522_20260514T033116Z,train,142,141,137,127,112,82
KRDU:AAL2307_23R_a0d90c_20260511T035209Z,train,143,142,138,128,113,83
KRDU:AAL2307_23R_a187ba_20260518T032844Z,train,135,134,130,120,105,75
KRDU:AAL2307_23R_a68e7c_20260505T025611Z,train,162,161,157,147,132,102
KRDU:AAL2307_23R_a6cffc_20260519T033000Z,train,146,145,141,131,116,86
KRDU:AAL2307_23R_a6e89f_20260504T031042Z,train,142,141,137,127,112,82
KRDU:AAL2307_23R_ac96be_20260516T033419Z,train,144,143,139,129,114,84
KRDU:AAL2307_23R_acda02_20260510T031545Z,val,152,151,147,137,122,92
KRDU:AAL2307_23R_acdbee_20260509T031706Z,train,148,147,143,133,118,88
KRDU:AAL2307_23R_ace5bc_20260521T032254Z,train,123,122,118,108,93,63
KRDU:AAL2307_23R_ad9811_20260502T030116Z,train,149,148,144,134,119,89
KRDU:AAL2332_05L_a6fb32_20260630T233655Z,train,257,256,252,242,227,197
KRDU:AAL2332_05L_ab5d4a_20260522T024156Z,train,258,257,253,243,228,198
KRDU:AAL2332_05L_ab7b02_20260523T030328Z,train,331,330,326,316,301,271
KRDU:AAL2332_05L_abc292_20260529T024000Z,train,292,291,287,277,262,232
KRDU:AAL2332_05L_abf17f_20260718T031216Z,train,123,122,118,108,93,63
KRDU:AAL2332_05L_acca88_20260713T030512Z,train,276,275,271,261,246,216
KRDU:AAL2332_05L_acdd1b_20260714T025750Z,train,139,138,134,124,109,79
KRDU:AAL2332_05L_ad00e3_20260531T024533Z,train,280,279,275,265,250,220
KRDU:AAL2332_05L_ad1d3d_20260629T024243Z,train,274,273,269,259,244,214
KRDU:AAL2332_05L_addb4a_20260630T024102Z,train,262,261,257,247,232,202
KRDU:AAL2332_23R_a09188_20260526T203158Z,train,138,137,133,123,108,78
KRDU:AAL2332_23R_a32893_20260705T020749Z,train,287,286,282,272,257,227
KRDU:AAL2332_23R_aaf5a9_20260704T060406Z,train,327,326,322,312,297,267
KRDU:AAL2332_23R_ab2c04_20260720T024843Z,val,131,130,126,116,101,71
KRDU:AAL2332_23R_ab3d39_20260526T073522Z,train,144,143,139,129,114,84
KRDU:AAL2332_23R_ab975c_20260712T030042Z,train,280,279,275,265,250,220
KRDU:AAL2332_23R_acd1f6_20260717T024735Z,train,135,134,130,120,105,75
KRDU:AAL2332_23R_ace96d_20260721T024552Z,val,147,146,142,132,117,87
KRDU:AAL2332_23R_acea99_20260530T024015Z,train,145,144,140,130,115,85
KRDU:AAL2332_23R_ad1986_20260525T025901Z,train,147,146,142,132,117,87
KRDU:AAL2332_23R_ad1c11_20260703T024402Z,train,120,119,115,105,90,60
KRDU:AAL2332_23R_ad35e0_20260710T031738Z,train,271,270,266,256,241,211
KRDU:AAL2332_23R_ad6116_20260706T024231Z,train,128,127,123,113,98,68
KRDU:AAL234_23R_a01fee_20260721T195216Z,val,294,293,289,279,264,234
KRDU:AAL2360_05L_a9b088_20260528T204433Z,train,297,296,292,282,267,237
KRDU:AAL2360_05L_aa02ab_20260714T202643Z,train,319,318,314,304,289,259
KRDU:AAL2360_05L_aa02ab_20260717T205354Z,val,357,356,352,342,327,297
KRDU:AAL2360_05L_aa4ac9_20260712T202558Z,train,306,305,301,291,276,246
KRDU:AAL2360_05L_ab1fbb_20260522T204805Z,val,355,354,350,340,325,295
KRDU:AAL2360_05L_ab525f_20260720T204207Z,train,300,299,295,285,270,240
